InChIKey,SMILES,Odors
JYWNYMJKURVPFH-UHFFFAOYSA-N,CC(=O)NCCC(=O)C1=C(C=CC(=C1)OC)NC=O,
VMJQLPNCUPGMNQ-UHFFFAOYSA-N,CC1=C(C=C2CCC(OC2=C1C)(C)CCC(=O)O)O,
HHDDCCUIIUWNGJ-UHFFFAOYSA-N,C(C(=O)C(=O)O)O,"burnt, buttery, creamy, cabbage, radish, sour"
KMYWVDDIPVNLME-KQYNXXCUSA-N,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@H]4[C@@H]([C@H](O3)CO)OP(=O)(O4)O)N,
BZLYOWSSNHNYKW-UHFFFAOYSA-N,CC(C1CCCC(C1)(C)C)OC(C)(C)COC(=O)C2CC2,musk
RBNPOMFGQQGHHO-REOHCLBHSA-N,C([C@@H](C(=O)O)O)O,
XGUHPTGEXRHMQQ-BGJMDTOESA-N,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=CC(=O)CC[C@]34CO,
RAJWOBJTTGJROA-WZNAKSSCSA-N,C[C@]12CCC(=O)C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C,
RFMMMVDNIPUKGG-YFKPBYRVSA-N,CC(=O)N[C@@H](CCC(=O)O)C(=O)O,
PZDOWFGHCNHPQD-OQPGPFOOSA-N,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H](C=O)[C@H]([C@@H]([C@@H](CO)O)O)O)O)O)O)O,
QXZGBUJJYSLZLT-FDISYFBBSA-N,C1C[C@H](N(C1)C(=O)[C@@H]2CCCN2C(=O)[C@H](CCCN=C(N)N)N)C(=O)NCC(=O)N[C@@H](CC3=CC=CC=C3)C(=O)N[C@@H](CO)C(=O)N4CCC[C@H]4C(=O)N[C@@H](CC5=CC=CC=C5)C(=O)N[C@@H](CCCN=C(N)N)C(=O)O,
MCSCIFLXNFLCDV-UHFFFAOYSA-N,CC1=CNC(=O)N1,
XVFMGWDSJLBXDZ-UHFFFAOYSA-O,C1=CC(=CC=C1C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O,
DHMQDGOQFOQNFH-UHFFFAOYSA-N,C(C(=O)O)N,odorless
KPGXRSRHYNQIFN-UHFFFAOYSA-N,C(CC(=O)O)C(=O)C(=O)O,odorless
XSQUKJJJFZCRTK-UHFFFAOYSA-N,C(=O)(N)N,
ZQISRDCJNBUVMM-YFKPBYRVSA-N,C1=C(NC=N1)C[C@@H](CO)N,
CLGFIVUFZRGQRP-UHFFFAOYSA-N,C12=C(NC(=NC1=O)N)NC(=O)N2,
HNJBEVLQSNELDL-UHFFFAOYSA-N,C1CC(=O)NC1,
MUMGGOZAMZWBJJ-KZYORJDKSA-N,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@H]2O)CCC4=CC(=O)CC[C@]34C,
PROQIPRRNZUXQM-ZXXIGWHRSA-N,C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H]([C@@H]2O)O)CCC4=C3C=CC(=C4)O,
LBTVHXHERHESKG-UHFFFAOYSA-N,COC1=C(C=CC(=C1)CCC(=O)CC(=O)CCC2=CC(=C(C=C2)O)OC)O,
JFLIEFSWGNOPJJ-JTQLQIEISA-N,C1=CC=C(C=C1)CC(=O)N[C@@H](CCC(=O)N)C(=O)O,
MUMGGOZAMZWBJJ-DYKIIFRCSA-N,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C,
OTGQIQQTPXJQRG-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)NCCO,
AEMFNILZOJDQLW-QAGGRKNESA-N,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C,
HXYVTAGFYLMHSO-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)NCCO,
GUBGYTABKSRVRQ-QUYVBRFLSA-N,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,
FKCRAVPPBFWEJD-XVFCMESISA-N,C1=C(N(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)O,
RZVAJINKPMORJF-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)O,
YZXBAPSDXZZRGB-DOFZRALJSA-N,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,
CCPPLLJZDQAOHD-FLIBITNWSA-N,CCCCCC1C(O1)C/C=C\CCCCCCCC(=O)O,
SHGAZHPCJJPHSC-XFYACQKRSA-N,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C\C(=O)O)/C)/C,
UKDKTHYZLXZOSS-UHFFFAOYSA-N,CC(=O)NC(CC1=CC(=C(C=C1)O)OC)C(=O)O,
NPAGDVCDWIYMMC-IZPLOLCNSA-N,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@H]34,
MQTAVJHICJWXBR-UHFFFAOYSA-N,CC(=O)NCCCNCCCCN,
MNQZXJOMYWMBOU-UHFFFAOYSA-N,C(C(C=O)O)O,
QUOGESRFPZDMMT-YFKPBYRVSA-N,C(CCN=C(N)N)C[C@@H](C(=O)O)N,
FONIWJIDLJEJTL-UHFFFAOYSA-N,CC(=O)NCCCCNCCCN,
UZTFMUBKZQVKLK-UHFFFAOYSA-N,CC(=O)NCCCC(=O)O,
PECYZEOJVXMISF-UHFFFAOYSA-N,C(C(C(=O)O)N)N,
YDGMGEXADBMOMJ-LURJTMIESA-N,CN(C)C(=NCCC[C@@H](C(=O)O)N)N,
JSJWCHRYRHKBBW-UHFFFAOYSA-N,C(CNC(=O)N)C(=O)O,
PHENTZNALBMCQD-UHFFFAOYSA-N,CC(CNC(=O)N)C(=O)O,
KLZGKIDSEJWEDW-UHFFFAOYSA-N,CC(=O)NCCCCN,
FCCDDURTIIUXBY-UHFFFAOYSA-N,C1CSSC1CCCCC(=O)N,
NTYJJOPFIAHURM-UHFFFAOYSA-N,C1=C(NC=N1)CCN,
XLSMFKSTNGKWQX-UHFFFAOYSA-N,CC(=O)CO,"caramellic, green, sweet, winey, ethereal, pungent"
YNYAYWLBAHXHLL-UHFFFAOYSA-N,COC1=C(C=CC(=C1)C(CN)O)O,
UHWURQRPEIFIAK-UHFFFAOYSA-N,CC1=C(C=C2C(=C1[N+](=O)[O-])C(CC2(C)C)(C)C)[N+](=O)[O-],"sweet, dry, powdery, musk"
SUAUILGSCPYJCS-UHFFFAOYSA-N,CC1=C(C=C(C(=C1[N+](=O)[O-])OC)C(C)(C)C)[N+](=O)[O-],"floral, musk, sweet, musty"
RWSDULKUTPNPMB-UHFFFAOYSA-N,CCC(=O)OCC(C)(C)CC1=C(CCC1C(=C)C)C,"sweet, animal, musk"
WRFXXJKURVTLSY-UHFFFAOYSA-N,CCC(C)CCCC(C)(C)O,"citrus, floral, sweet, fresh, lily"
ZYIJXTQXQNXPSH-FMIVXFBMSA-N,CC(C)/C=C(\C)/C(C)OC(C)(C)COC(=O)C1CC1,
VDBHOHJWUDKDRW-UHFFFAOYSA-N,CC1C(C2=C(C1(C)C)C=C(C(=C2)C)C(=O)C)(C)C,"sweet, dry, fruity, amber, powdery, musk"
IMRYETFJNLKUHK-UHFFFAOYSA-N,CC1C(C2=C(C1(C)C)C=C(C(=C2)C(=O)C)C)C(C)C,"dry, sweet, herbal, amber, creamy, musk"
OHHWFLWQMHUVFQ-YNZJMPHRSA-N,C[C@H]1CC(C2=C(C1(C)C)C[C@@]3([C@H](C2)O3)C)(C)C,
ZGXVZQZFVYSUDU-ULYHCOEVSA-N,CC(=C)C(=O)O[C@H]1C[C@]23[C@H](O2)CC/C(=C/[C@@H]4[C@@H]1C(=C)C(=O)O4)/CO[C@H]3O,
LOKPJYNMYCVCRM-UHFFFAOYSA-N,C1CCCCCCCC(=O)OCCCCCCC1,"animal, musk, sweet, amber, balsamic"
JIYIHILAGIZIMD-UHFFFAOYSA-N,C1CCCCCC(=O)CCC=CCCCC1,
MKEIDVFLAWJKMY-UHFFFAOYSA-N,C1CCCCC(=O)OCCCCCOCCCC1,"sweet, animal, oily, amber, musk"
ABRIMXGLNHCLIP-VURMDHGXSA-N,C1CCCCCC(=O)CCC/C=C\CCCC1,"dry, amber, powdery, musk"
ZKVZSBSZTMPBQR-UPHRSURJSA-N,C1CCC/C=C\CCCCCCCC(=O)CCC1,"animal, musk, sweet, dry, clean"
GJJSUPSPZIZYPM-UHFFFAOYSA-N,C1CCCCCC(=O)OCCOC(=O)CCCC1,"sweet, animal, clean, musk, waxy"
MRMOPGVGWFNHIN-UHFFFAOYSA-N,C1CCCCCOCCCCOC(=O)CCCC1,"sweet, fruity, woody, musk, waxy"
NUSRNVWNTPMBJA-VURMDHGXSA-N,CC1CCOC(=O)CCCCCCC/C=C\C1,
QILMAYXCYBTEDM-IWQZZHSRSA-N,C1CCC/C=C\CCCCCCOC(=O)CCC1,"fruity, musk, warm, sweet, fatty, waxy"
MZLRFHKWWCSGHB-UHFFFAOYSA-N,C1CCCCOCCCCCCOC(=O)CCC1,"sweet, animal, floral, fruity, oily, musk"
XSNQECSCDATQEL-UHFFFAOYSA-N,CC(CCCC(C)(C)O)C=C,"citrus, floral, fresh, herbal, clean, weedy"
IPWBXORAIBJDDQ-UHFFFAOYSA-N,CCCCCCC1C(CCC1=O)C(=O)OC,"floral, herbal, oily, fresh, green, jasmine"
DUNCVNHORHNONW-UHFFFAOYSA-N,CC(C)(CCCC(=C)C=C)O,"floral, woody, lavender, fresh, citrus"
KZZASWGRLOTITL-UHFFFAOYSA-N,CC(C)(CCC1CCCCC1)O,floral
FUNYLZYOEJSMTO-UHFFFAOYSA-N,CC1CCC(C(C1)C)C2=CC=CC=N2,
DRTBYQJIHFSKDT-UHFFFAOYSA-N,CC(CCCC1=CC=CC=C1)CO,
AKGGYBADQZYZPD-UHFFFAOYSA-N,CC(=O)CCC1=CC=CC=C1,"floral, fresh, green, jasmine, balsamic"
DLHQZZUEERVIGQ-UHFFFAOYSA-N,CCC(C)(CCCC(C)C)O,"floral, sweet, fresh, lily, citrus"
PRNCMAKCNVRZFX-UHFFFAOYSA-N,CC(C)CCCC(C)CCO,"rose, sweet, waxy, musty, aldehydic, green, soapy, citrus, leathery"
WPPOGHDFAVQKLN-UHFFFAOYSA-N,CCCCCCCCN1CCCC1=O,
DPVYDTACPLLHCF-UHFFFAOYSA-N,CC(C)(C)C(=O)OCCC1=CC=CC=C1,"rose, spicy, floral, geranium"
QQLIGMASAVJVON-UHFFFAOYSA-N,CC(=O)C1=CC=CC2=CC=CC=C21,"orange, sweet, floral, powdery, orangeflower"
OXYRENDGHPGWKV-UHFFFAOYSA-N,CC(CCC1=CC=CC=C1)CCO,"floral, rose, honey, fresh, muguet, green, geranium, lily, tropical"
RPLWLQJSZFPHGM-NSCUHMNNSA-N,C/C=C/CCCCCCCC#N,
DSOXXQLCMAEPEZ-ODYTWBPASA-N,CC/C=C\CC/C=C/C#N,"floral, green"
LLYJRIQMURUPPF-XQRVVYSFSA-N,CCC(C1CCCC/C=C\C1)O,
YZRXRLLRSPQHDK-UHFFFAOYSA-N,CCCCCCC1CCCC(=O)O1,"creamy, fatty, peach, fruity, coconut, waxy"
SAPMLSXAXRULJB-UHFFFAOYSA-N,CC(C)CCCC(C)CC#N,"metallic, aldehydic, fatty, lemon, citrus"
VDHRTASWKDTLER-ARJAWSKDSA-N,CC/C=C\CCCCO,"fruity, green, melon, mushroom"
XJHRZBIBSSVCEL-ARJAWSKDSA-N,CC/C=C\CCCCCO,"fruity, green, melon, waxy, juicy, vegetable, clean, fatty, cucumber, fresh"
KRLBLPBPZSSIGH-CSKARUKUSA-N,CC/C(=C/CCC(C)(C=C)O)/C,"floral, herbal, lavender, fresh, green, bergamot"
FMPXLXBVYDFXIC-UHFFFAOYSA-N,CC(C)OCCC1=CC=CC=C1,"metallic, spicy, rose, green"
MTDAKBBUYMYKAR-UHFFFAOYSA-N,CC(CCC=C(C)C)CC#N,"metallic, floral, fresh, lemon, citrus, waxy"
XPCSGXMQGQGBKU-UHFFFAOYSA-N,CCCCCCCCC(C)C#N,"floral, fruity, jasmine, peach, lactonic"
UIKJRDSCEYGECG-UHFFFAOYSA-N,CC(C)C(=O)OCC1=CC=CC=C1,"floral, fruity, sweet, juicy, rose, oily, powdery, jasmine, tropical, woody"
JIMGVOCOYZFDKB-UHFFFAOYSA-N,CC(C)CC(=O)OCCC1=CC=CC=C1,"balsamic, fruity, rose, sweet, ripe, floral, pineapple, apricot, apple, peach"
WXPWPYISTQCNDP-UHFFFAOYSA-N,C=CCCCCCCO,
GVONPEQEUQYVNH-SNAWJCMRSA-N,CC/C=C/CC1=C(C(=O)CC1)C,"herbal, jasmine, sweet, spicy, fatty, floral, fruity, creamy, waxy, lactonic"
QGFSQVPRCWJZQK-UHFFFAOYSA-N,C=CCCCCCCCCO,"aldehydic, fresh, rose, waxy, clean"
FHUODBDRWMIBQP-UHFFFAOYSA-N,CCOC(=O)C1=CC=C(C=C1)OC,"anisic, floral, sweet, spicy, fruity, powdery, cherry"
PRNJXUQTUSFYLV-NTCAYCPXSA-N,CC(=CCC/C(=C/CCC(C)(C=C)OC(=O)C)/C)C,"sweet, floral, fresh, woody, citrus, waxy"
YXVSKJDFNJFXAJ-UHFFFAOYSA-N,CC(C)(CCC1=CC=CC=C1)O,"floral, green, herbal, sweet, clean, rose, violet, fresh, lily"
TWXUTZNBHUWMKJ-UHFFFAOYSA-N,C=CCOC(=O)CCC1CCCCC1,"fruity, pineapple, sweet, tropical, waxy"
JTHVYOIHZNYRCC-UHFFFAOYSA-N,CCCCCCC1CCCC1=O,"floral, fruity, green, jasmine"
VZBFPIMCUSPDLS-UHFFFAOYSA-N,CCCCCCC(C)(CC)O,
VONGZNXBKCOUHB-UHFFFAOYSA-N,CCCC(=O)OCC1=CC=CC=C1,"apricot, floral, fruity, plum, sweet, pineapple, apple, fresh, jasmine, tropical, waxy"
MQBIZQLCHSZBOI-UHFFFAOYSA-N,CC(=CCCC1=CCC(CC1)C=O)C,"aldehydic, citrus, floral, marine"
VNWOJVJCRAHBJJ-UHFFFAOYSA-N,CCCCCC1CCCC1=O,"floral, rose, herbal, oily, coconut, green, jasmine"
LOQFOBUZYRBURV-UHFFFAOYSA-N,CCCCCC1C(CC(=O)O1)C,"buttery, coconut, metallic, plum, floral, waxy, lactonic"
VHOMAPWVLKRQAZ-UHFFFAOYSA-N,CCC(=O)OCC1=CC=CC=C1,"floral, fruity, jasmine, sweet, banana"
AXORVIZLPOGIRG-UHFFFAOYSA-N,CC(CN)C1=CC=CC=C1,
SKQYTJLYRIFFCO-UHFFFAOYSA-N,CCCCCCCCCC1CCCC(=O)O1,"buttery, creamy, fatty, milky, sweet, oily, dairy, cheesy, waxy"
XPTXKXKPWKNYKB-UHFFFAOYSA-N,CCCCCCCC1CC=CC(=O)O1,"buttery, coconut, creamy, dairy, waxy, fatty, lactonic"
HETFMJQWNWIBPN-UHFFFAOYSA-N,CCCCCCCCC=CC#N,
STZUZYMKSMSTOU-UHFFFAOYSA-N,CCCCCC(CC)OC(=O)C,"citrus, floral, green, minty, rose, waxy, aldehydic, fatty, herbal, apple, anisic, fresh, bergamot, woody, grapefruit"
SZMNDOUFZGODBR-UHFFFAOYSA-N,CCCCCC(CCCC)O,
PJXHBTZLHITWFX-UHFFFAOYSA-N,CCCCCCCC1CCCC1=O,"fruity, oily, fresh, jasmine, tropical, peach"
LMETVDMCIJNNKH-UHFFFAOYSA-N,CC(CCC=C(C)C)CCOCC=O,"citrus, floral, melon, rose, sweet, aldehydic, fresh, muguet, green, waxy"
KGWPHCDTOLQQEP-UHFFFAOYSA-N,CC1=C2C(=CC=C1)C=CN2,
FTXUQEKXCJSWMO-UHFFFAOYSA-N,C1CCCCOC(=O)CCC1,
ZWKNLRXFUTWSOY-QPJJXVBHSA-N,C1=CC=C(C=C1)/C=C/C#N,"spicy, cinnamon"
VXCUURYYWGCLIH-UHFFFAOYSA-N,CCCCCCCCCCCC#N,"dry, metallic, spicy, citrus"
MJTPMXWJHPOWGH-UHFFFAOYSA-N,CC(C)C(=O)OCCOC1=CC=CC=C1,"floral, fruity, honey, sweet, rose, apple, powdery, green, tropical, waxy"
YPKBCLZFIYBSHK-UHFFFAOYSA-N,CC1=CC2=C(C=C1)NC=C2,
GOMAKLPNAAZVCJ-UHFFFAOYSA-N,CCOC(=O)C1C(O1)C2=CC=CC=C2,"berry, caramellic, fruity, strawberry, sweet"
HFNGYHHRRMSKEU-UHFFFAOYSA-N,CC(=O)OCC1=CC=C(C=C1)OC,"balsamic, cherry, coumarinic, floral, fruity, vanilla, sweet, plum, powdery"
FQMZVFJYMPNUCT-YRNVUSSQSA-N,CC(=CCC/C(=C/COC=O)/C)C,"fresh, fruity, green, leafy, rose, floral, apple, tropical, peach"
HIGQPQRQIQDZMP-FLIBITNWSA-N,CC(=CCC/C(=C\COC(=O)C)/C)C,"floral, fruity, sweet, rose, grapefruit, pear, tropical, soapy, citrus"
PXRBWNLUQYZAAX-UHFFFAOYSA-N,CCCCC1CCCC(=O)O1,"coconut, fatty, oily, sweet, creamy, coumarinic, milky"
RZZLMGATMUAJPX-UHFFFAOYSA-N,CCCCCCCCC1CCCC(=O)O1,"buttery, creamy, dairy, fatty, musty, oily, milky"
BYCHQEILESTMQU-FMIVXFBMSA-N,CCC(=O)OC/C=C(\C)/CCC=C(C)C,"fruity, grape, rose, sweet, vegetable, floral, honey, powdery, geranium, tropical, citrus, waxy"
NTPLXRHDUXRPNE-UHFFFAOYSA-N,CC(=O)C1=CC=C(C=C1)OC,"floral, hay, sweet, vanilla, powdery, anisic, balsamic, hawthorn"
UCSIFMPORANABL-UHFFFAOYSA-N,CC(C)CCCC(C)CC=O,"citrus, fresh, green, lemon, aldehydic"
ZSBOMYJPSRFZAL-JLHYYAGUSA-N,CCCC(=O)OC/C=C(\C)/CCC=C(C)C,"fruity, rose, sweet, apricot, fresh, raspberry, green, tropical, peach, waxy"
BLRHMMGNCXNXJL-UHFFFAOYSA-N,CN1C=CC2=CC=CC=C21,
YNBADRVTZLEFNH-UHFFFAOYSA-N,COC(=O)C1=CN=CC=C1,"herbal, sweet, tobacco, warm"
MINYPECWDZURGR-UHFFFAOYSA-N,CC1=C(C(=C(C(=C1C)[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C,"sweet, powdery, musk, fatty"
ZFGBKXBPHOUSJX-UHFFFAOYSA-N,CC1CC=CCCCCCCCCC(=O)C1,"animal, fatty, powdery, anisic, woody, musk"
YWVSYRJWCROMKO-UHFFFAOYSA-N,CC(C1CCCC(C1)(C)C)OC(=O)C,"floral, rose, fruity, geranium, musk"
CVKMFSAVYPAZTQ-UHFFFAOYSA-N,CCCCC(C)C(=O)O,"fatty, chicken, fruity, acidic, savory, oily, roasted, cheesy"
NZQMQVJXSRMTCJ-UHFFFAOYSA-N,CCCC(C)CC(=O)O,"cheesy, fruity, sour"
NTWSIWWJPQHFTO-AATRIKPKSA-N,CCC/C(=C/C(=O)O)/C,
RGRNSTGIHROKJB-UHFFFAOYSA-N,CCCC(C)(CC(=O)O)O,
NKBWMBRPILTCRD-UHFFFAOYSA-N,CCCCCC(C)C(=O)O,"cheesy, fatty, sour, green, waxy"
JZBCTZLGKSYRSF-UHFFFAOYSA-N,CCC1=NC=C(N=C1C)C,"almond, burnt, chocolate, cocoa, hazelnut, nutty, musty, caramellic, coffee, roasted"
CHCKBDDEJDVRSJ-UHFFFAOYSA-N,CCC(C)C1=C(C=CC=N1)OC,
ZBYPSGBBPAPHDG-UHFFFAOYSA-N,CC(C)CC1=C(C=CC=N1)OC,
FYGUSUBEMUKACF-UHFFFAOYSA-N,C1C2CC(C1C=C2)C(=O)O,"fruity, green"
LXXNWCFBZHKFPT-UHFFFAOYSA-N,CCOC(=O)C(C)S,"fruity, sulfurous, meaty"
XSAYZAUNJMRRIR-UHFFFAOYSA-N,CC(=O)C1=CC2=CC=CC=C2C=C1,"orange, sweet, floral, honey, powdery, orangeflower"
JLPUXFOGCDVKGO-TUAOUCFPSA-N,C[C@H]1CCC[C@@]2([C@@]1(CCCC2)O)C,"earthy, green, herbal, musty, fresh"
JDLKFOPOAOFWQN-UHFFFAOYSA-N,C=CCSS(=O)CC=C,
RTUMCNDCAVLXEP-UHFFFAOYSA-N,CC1=CC2=C(C=C1)C(CC=C2)(C)C,"gasoline, woody"
