group,n_molecules,n_receptors,receptors,molecule,SMILES,InChIKey,odor_tags,n_tags,unique_tags
G35,2,3,Q8NGN6; Q8TCB6; Q9H344,SML0742,CCC/C(=C/C(=O)O)/C,NTWSIWWJPQHFTO-AATRIKPKSA-N,,0,cheesy; creamy; dairy; pungent; sour
G36,2,3,Q8TCB6; Q9H255; Q9H344,SML0162,CCCCC(C(=O)O)Br,HZTPKMIMXLTOSK-UHFFFAOYSA-N,,0,
G36,2,3,Q8TCB6; Q9H255; Q9H344,SML0226,CCCC(=CC(=O)O)C,NTWSIWWJPQHFTO-UHFFFAOYSA-N,,0,
G43,2,2,Q8TCB6; Q9H255,SML0167,CCCC(C(=O)O)Br,WMFATTFQNRPXBQ-UHFFFAOYSA-N,,0,
G43,2,2,Q8TCB6; Q9H255,SML0175,CCC(C(=O)O)Br,YAQLSKVCTLCIIE-UHFFFAOYSA-N,,0,
G44,2,2,Q9P1Q5; Q9Y3N9,SML0291,CCCC(CCOC(=O)C)S,JUCARGIKESIVLB-UHFFFAOYSA-N,raspberry; tropical; pear; floral; grapefruit; fruity; sulfurous,7,burnt; caramellic; floral; fruity; grapefruit; hay; pear; raspberry; sulfurous; tropical
G44,2,2,Q9P1Q5; Q9Y3N9,SML0356,CCCCCC(=O)C(C)C(=O)C,BGVBGAIWXAXBLP-UHFFFAOYSA-N,burnt; caramellic; fruity; hay,4,burnt; caramellic; floral; fruity; grapefruit; hay; pear; raspberry; sulfurous; tropical
G51,2,1,Q8NGP4,SML0128,CC1C(=O)C(=C(O1)C)O,INAXVXBDKKUCGI-UHFFFAOYSA-N,brown; strawberry; burnt; pineapple; sweet; roasted; caramellic; savory; fruity,9,brown; burnt; caramellic; fruity; pineapple; roasted; savory; strawberry; sweet
G51,2,1,Q8NGP4,SML0302,CCC1C(=O)C(=C(O1)C)O,GWCRPYGYVRXVLI-UHFFFAOYSA-N,sweet; caramellic,2,brown; burnt; caramellic; fruity; pineapple; roasted; savory; strawberry; sweet
G52,2,1,Q8WZ84,SML0050,CC1C(=C(C(=O)O1)O)C,UNYNVICDCJHOPO-UHFFFAOYSA-N,coffee; sweet; caramellic,3,caramellic; coffee; fruity; nutty; sweet
G52,2,1,Q8WZ84,SML0246,CCC1C(=C(C(=O)O1)O)C,IUFQZPBIRYFPFD-UHFFFAOYSA-N,nutty; sweet; caramellic; fruity,4,caramellic; coffee; fruity; nutty; sweet
