inchikey,smiles_can,in_m2or,m2or_id,in_leffingwell,leffingwell_id,in_goodscents,goodscents_id,skeleton,in_chembl,in_chembl_skeleton,is_odorant,chembl_id
YCTDZYMMFQCTEO-FNORWQNLSA-N,CC/C=C/CCCC,0,,1,638228,0,,YCTDZYMMFQCTEO,0,0,1,
ZGIGZINMAOQWLX-NCZFFCEISA-N,CC(=O)OC/C=C(\C)CC/C=C(\C)CCC=C(C)C,0,,1,638500,1,638500,ZGIGZINMAOQWLX,1,1,1,CHEMBL3184169
VJROPLWGFCORRM-RXMQYKEDSA-N,CC[C@@H](C)CN,0,,1,641006,0,,VJROPLWGFCORRM,0,1,1,
VTIODUHBZHNXFP-NSCUHMNNSA-N,C/C=C/CCCO,0,,1,641248,1,641248,VTIODUHBZHNXFP,0,0,1,
MEIRRNXMZYDVDW-MQQKCMAXSA-N,C/C=C/C=C/CO,0,,1,641256,1,641256,MEIRRNXMZYDVDW,1,1,1,CHEMBL3187813
AXCXHFKZHDEKTP-NSCUHMNNSA-N,COc1ccc(/C=C/C=O)cc1,0,,1,641294,1,641294,AXCXHFKZHDEKTP,1,1,1,CHEMBL452173
KKVZAVRSVHUSPL-GQCTYLIASA-N,COc1ccccc1/C=C/C=O,0,,1,641298,0,,KKVZAVRSVHUSPL,1,1,1,CHEMBL83159
KCMITHMNVLRGJU-CMDGGOBGSA-N,C=CCOC(=O)/C=C/c1ccccc1,0,,1,641423,1,641423,KCMITHMNVLRGJU,1,1,1,CHEMBL2268886
QAOXMQCWUWZZNC-ONEGZZNKSA-N,CC(C)/C=C/C(=O)O,0,,1,642039,1,642039,QAOXMQCWUWZZNC,0,0,1,
JDWCALSZHJBMIQ-UHFFFAOYSA-N,Cc1cc(SSc2cc(C)oc2C)c(C)o1,0,,1,642117,1,642117,JDWCALSZHJBMIQ,0,0,1,
GXANMBISFKBPEX-ONEGZZNKSA-N,CC/C=C/CC=O,0,,1,643139,1,643139,GXANMBISFKBPEX,0,0,1,
WSWCOQWTEOXDQX-MQQKCMAXSA-N,C/C=C/C=C/C(=O)O,0,,1,643460,0,,WSWCOQWTEOXDQX,1,1,1,CHEMBL250212
WTEVQBCEXWBHNA-YFHOEESVSA-N,CC(C)=CCC/C(C)=C\C=O,0,,1,643779,1,643779,WTEVQBCEXWBHNA,1,1,1,CHEMBL6120612
WCASXYBKJHWFMY-IHWYPQMZSA-N,C/C=C\CO,0,,1,643789,0,,WCASXYBKJHWFMY,1,1,1,CHEMBL116709
UIERETOOQGIECD-ARJAWSKDSA-N,C/C=C(/C)C(=O)O,0,,1,643915,1,643915,UIERETOOQGIECD,1,1,1,CHEMBL55941
BZFWGBFTIQSEBN-UHFFFAOYSA-N,CCOC(=O)C(C)C(C)O,0,,1,656467,1,656467,BZFWGBFTIQSEBN,0,0,1,
YXIWHUQXZSMYRE-UHFFFAOYSA-N,S=c1[nH]c2ccccc2s1,0,,1,697993,0,,YXIWHUQXZSMYRE,1,1,1,CHEMBL111654
MWZBTMXISMOMAE-AATRIKPKSA-N,CCOC(=O)/C=C/c1ccco1,0,,1,699489,1,699489,MWZBTMXISMOMAE,0,0,1,
FEGVSPGUHMGGBO-VOTSOKGWSA-N,COc1ccccc1/C=C/C(=O)O,0,,1,734154,0,,FEGVSPGUHMGGBO,1,1,1,CHEMBL95203
GBKGJMYPQZODMI-SNAWJCMRSA-N,CC(=O)/C=C/c1ccco1,0,,1,735940,0,,GBKGJMYPQZODMI,1,1,1,CHEMBL105424
CGQCWMIAEPEHNQ-QMMMGPOBSA-N,COc1cc([C@H](O)C(=O)O)ccc1O,0,,1,736172,0,,CGQCWMIAEPEHNQ,1,1,1,CHEMBL1603851
WRRZKDVBPZBNJN-ONEGZZNKSA-N,COc1ccc(/C=C/C(C)=O)cc1,0,,1,736889,0,,WRRZKDVBPZBNJN,1,1,1,CHEMBL72155
