pattern,tag,obs,exp,obs_exp,p
011,strawberry,3,2.22,1.3507462686567164,0.39313495265042425
011,dry,3,2.22,1.3507462686567164,0.39313495265042425
011,medicinal,5,2.22,2.2512437810945274,0.026735074482439017
011,terpenic,5,2.22,2.2512437810945274,0.026735074482439017
011,jasmin,3,2.22,1.3507462686567164,0.39313495265042425
011,roasted,5,2.22,2.2512437810945274,0.026735074482439017
011,coffee,5,2.22,2.2512437810945274,0.026735074482439017
011,cinnamon,4,2.22,1.800995024875622,0.13665503793283454
011,cucumber,2,1.85,1.0805970149253732,0.6121293413708278
011,coumarinic,1,1.85,0.5402985074626866,0.904121859664699
011,buttery,0,1.85,0.0,1.0
011,almond,2,1.85,1.0805970149253732,0.6121293413708278
011,chicken,2,1.85,1.0805970149253732,0.6121293413708278
011,onion,4,1.85,2.1611940298507464,0.06337506229923752
011,hay,3,1.85,1.6208955223880597,0.2648949952916293
011,orris,3,1.85,1.6208955223880597,0.2648949952916293
011,acidic,0,1.85,0.0,1.0
011,winey,1,1.85,0.5402985074626866,0.904121859664699
010,sweet,19,18.53,1.0253428741800836,0.5036920172643019
010,fruity,16,14.01,1.1424063116370808,0.2844829375163209
010,floral,14,12.07,1.1602564102564101,0.28435853131994837
010,green,12,11.2,1.0710059171597632,0.44669776303261216
010,fatty,4,8.4,0.4760026298487837,0.9889212421076877
010,waxy,7,8.4,0.8330046022353715,0.796419486433888
010,woody,10,6.25,1.6003536693191864,0.05874931670105024
010,fresh,9,6.25,1.4403183023872679,0.1345579236877488
010,herbal,6,4.96,1.2107023411371238,0.3706399227553298
010,balsamic,8,4.74,1.6876456876456876,0.06826097848142872
010,citrus,8,4.52,1.768009768009768,0.05192248753781694
010,spicy,4,4.09,0.9770580296896086,0.6207835031166615
010,cheesy,1,3.66,0.2730015082956259,0.987057440447909
010,rose,2,3.45,0.5801282051282051,0.8997764487628197
010,powdery,5,3.45,1.4503205128205128,0.24281608266691362
010,creamy,1,3.23,0.3094017094017094,0.9778467250261359
010,tropical,3,3.02,0.9945054945054945,0.6163281391172544
010,sour,0,3.02,0.0,1.0
010,banana,6,3.02,1.989010989010989,0.05312456154425037
010,oily,2,2.8,0.7140039447731755,0.8155578860787922
010,apple,4,2.8,1.428007889546351,0.2974591547945895
010,vegetable,3,2.8,1.0710059171597632,0.5600571418838431
010,aldehydic,4,2.8,1.428007889546351,0.2974591547945895
010,nutty,4,2.59,1.547008547008547,0.24278288217912908
010,musk,2,2.37,0.8438228438228438,0.7301180004665923
010,dairy,0,2.37,0.0,1.0
010,pineapple,3,2.37,1.2657342657342656,0.43528892534606284
010,coconut,0,2.15,0.0,1.0
010,sulfurous,2,2.15,0.9282051282051282,0.6765127140810415
010,sharp,2,2.15,0.9282051282051282,0.6765127140810415
010,earthy,4,2.15,1.8564102564102565,0.14370016977570496
010,odorless,0,2.15,0.0,1.0
010,pear,3,1.94,1.547008547008547,0.30118770070304546
010,pungent,0,1.94,0.0,1.0
