node,tag,obs,exp,obs_exp,p
2,phenolic,2,3.17,0.6311111111111111,0.8867465046294196
2,honey,3,3.17,0.9466666666666667,0.6721711087255557
2,roasted,0,3.17,0.0,1.0
2,camphoreous,0,3.17,0.0,1.0
2,tobacco,3,2.82,1.0650000000000002,0.579874789443675
2,plum,0,2.82,0.0,1.0
2,minty,1,2.82,0.35500000000000004,0.9711590477627715
2,coffee,0,2.82,0.0,1.0
2,melon,1,2.82,0.35500000000000004,0.9711590477627715
2,berry,2,2.82,0.7100000000000001,0.8390630833174498
2,jasmine,0,2.82,0.0,1.0
2,acidic,5,2.82,1.7750000000000001,0.10425510799109203
2,medicinal,0,2.46,0.0,1.0
2,cherry,1,2.46,0.40571428571428575,0.9546470522071062
2,onion,0,2.46,0.0,1.0
2,pine,0,2.46,0.0,1.0
2,chicken,0,2.46,0.0,1.0
2,winey,4,2.46,1.622857142857143,0.19980370471147701
2,cinnamon,1,2.11,0.4733333333333334,0.9288783318702348
2,jasmin,0,2.11,0.0,1.0
2,strawberry,2,2.11,0.9466666666666668,0.6882411088747887
2,cucumber,1,2.11,0.4733333333333334,0.9288783318702348
2,terpenic,0,2.11,0.0,1.0
2,dry,1,2.11,0.4733333333333334,0.9288783318702348
2,orris,2,2.11,0.9466666666666668,0.6882411088747887
2,caramellic,0,1.76,0.0,1.0
2,cocoa,1,1.76,0.568,0.8887721280376605
2,metallic,0,1.76,0.0,1.0
2,almond,2,1.76,1.136,0.5775000982923073
2,coumarinic,3,1.76,1.704,0.23625372494184602
2,hay,0,1.76,0.0,1.0
2,cooling,1,1.76,0.568,0.8887721280376605
2,grassy,1,1.76,0.568,0.8887721280376605
2,amber,1,1.76,0.568,0.8887721280376605
2,cabbage,1,1.76,0.568,0.8887721280376605
2,potato,0,1.76,0.0,1.0
2,peach,3,1.76,1.704,0.23625372494184602
2,savory,0,1.76,0.0,1.0
2,grape,0,1.76,0.0,1.0
2,lemon,2,1.76,1.136,0.5775000982923073
2,apricot,2,1.76,1.136,0.5775000982923073
2,leafy,2,1.76,1.136,0.5775000982923073
3,sweet,42,33.18,1.265704584040747,0.008279165590337001
3,fruity,28,27.83,1.0060728744939271,0.5376071955239898
3,green,23,22.84,1.0071957236842106,0.5393091102600853
3,floral,29,20.69,1.4013157894736843,0.0065051079175973995
3,fatty,9,18.91,0.4759185700099305,0.9998368367935394
3,waxy,5,16.06,0.3114035087719298,0.9999933932145075
3,fresh,14,13.2,1.0604551920341394,0.450609692943709
3,woody,18,11.06,1.6273344651952462,0.005161749820116608
3,herbal,15,9.99,1.5014097744360901,0.02988164461887015
3,citrus,7,9.28,0.7545546558704452,0.8893241859299146
3,oily,4,8.56,0.4671052631578948,0.9920713720384038
3,balsamic,9,8.21,1.0966819221967963,0.4395659462759714
3,cheesy,2,7.85,0.25478468899521534,0.999515604079784
3,creamy,2,7.49,0.2669172932330827,0.9992384372522642
3,spicy,15,7.14,2.101973684210526,0.0002034300589435286
3,vegetable,7,6.78,1.0325484764542936,0.5476476818540015
3,rose,9,6.78,1.327562326869806,0.1926931471152853
3,aldehydic,3,6.42,0.4671052631578947,0.9832496753665646
3,tropical,6,6.42,0.9342105263157894,0.6758562341332074
3,nutty,4,6.42,0.6228070175438596,0.9383355136987851
3,powdery,6,6.07,0.9891640866873066,0.6091877869480202
3,dairy,0,6.07,0.0,1.0
3,sour,0,5.71,0.0,1.0
3,apple,6,5.35,1.1210526315789473,0.4579151554740198
3,banana,4,5.0,0.8007518796992481,0.803632054517972
3,sulfurous,7,4.64,1.5091093117408905,0.1337960964571846
3,musk,6,4.28,1.4013157894736843,0.2219812077922386
3,pineapple,0,4.28,0.0,1.0
3,pungent,5,4.28,1.167763157894737,0.43596761477428114
3,earthy,5,4.28,1.167763157894737,0.43596761477428114
3,coconut,0,4.28,0.0,1.0
3,odorless,0,3.92,0.0,1.0
3,musty,4,3.92,1.0191387559808613,0.5969527589158639
3,sharp,2,3.92,0.5095693779904307,0.9491114868538655
3,orange,2,3.92,0.5095693779904307,0.9491114868538655
3,burnt,5,3.57,1.4013157894736843,0.25931621761555695
3,meaty,6,3.57,1.681578947368421,0.09785667186413385
3,pear,3,3.57,0.8407894736842105,0.7589403012152398
3,buttery,0,3.57,0.0,1.0
3,animal,3,3.57,0.8407894736842105,0.7589403012152398
3,milky,0,3.57,0.0,1.0
3,phenolic,5,3.21,1.557017543859649,0.17858644473984542
3,honey,6,3.21,1.8684210526315788,0.05476032694552081
3,roasted,5,3.21,1.557017543859649,0.17858644473984542
3,camphoreous,5,3.21,1.557017543859649,0.17858644473984542
3,tobacco,5,2.85,1.7516447368421053,0.10979415707633174
3,plum,6,2.85,2.1019736842105265,0.02560061098068816
3,minty,7,2.85,2.4523026315789473,0.0034608266370189265
3,coffee,5,2.85,1.7516447368421053,0.10979415707633174
3,melon,3,2.85,1.0509868421052633,0.5911438456990565
3,berry,6,2.85,2.1019736842105265,0.02560061098068816
3,jasmine,5,2.85,1.7516447368421053,0.10979415707633174
3,acidic,0,2.85,0.0,1.0
3,medicinal,5,2.5,2.00187969924812,0.05717319076655451
3,cherry,3,2.5,1.2011278195488722,0.4840878112729321
3,onion,4,2.5,1.6015037593984962,0.2077276221528616
3,pine,4,2.5,1.6015037593984962,0.2077276221528616
3,chicken,2,2.5,0.8007518796992481,0.7821086638645757
3,winey,1,2.5,0.40037593984962405,0.9569475640516734
3,cinnamon,4,2.14,1.8684210526315792,0.12169651850354327
