smiles_id,cluster,class_group,inchikey,row,in_universe
SML0146,1,shared,WPFVBOQKRVRMJB-UHFFFAOYSA-N,725507,True
SML0147,0,shared,DNRJTBAOUJJKDY-UHFFFAOYSA-N,721318,True
SML0148,0,shared,IKTHMQYJOWTSJO-UHFFFAOYSA-N,722258,True
SML0149,1,Class II only,MIZGSAALSYARKU-UHFFFAOYSA-N,723219,True
SML0150,0,shared,WTEVQBCEXWBHNA-UHFFFAOYSA-N,725569,True
SML0151,1,Class II only,QMVPMAAFGQKVCJ-SNVBAGLBSA-N,724257,True
SML0152,0,shared,HLCSDJLATUNSSI-JXMROGBWSA-N,722028,True
SML0153,4,shared,QUNOTZOHYZZWKQ-UHFFFAOYSA-N,724344,True
SML0156,4,shared,NJGBTKGETPDVIK-UHFFFAOYSA-N,723490,True
SML0157,5,,WQAQPCDUOCURKW-UHFFFAOYSA-N,725525,True
SML0158,1,Class II only,ZSIAUFGUXNUGDI-UHFFFAOYSA-N,726335,True
SML0159,1,Class II only,BBMCTIGTTCKYKF-UHFFFAOYSA-N,720694,True
SML0160,1,,AMQJEAYHLZJPGS-UHFFFAOYSA-N,720571,True
SML0161,2,Class I only,GTGTXZRPJHDASG-UHFFFAOYSA-N,721860,True
SML0162,2,Class I only,HZTPKMIMXLTOSK-UHFFFAOYSA-N,722160,True
SML0164,0,shared,WLJVXDMOQOGPHL-UHFFFAOYSA-M,725463,True
SML0165,5,,RFFOTVCVTJUTAD-UHFFFAOYSA-N,724427,True
SML0166,5,,FTZILAQGHINQQR-UHFFFAOYSA-N,721629,True
SML0168,4,shared,ULDHMXUKGWMISQ-SECBINFHSA-N,725006,True
SML0169,0,shared,ZSKAJFSSXURRGL-PKNBQFBNSA-N,726337,True
SML0170,4,shared,RDOXTESZEPMUJZ-UHFFFAOYSA-N,724413,True
SML0171,3,shared,MLFHJEHSLIIPHL-UHFFFAOYSA-N,723241,True
SML0172,1,Class II only,QMVPMAAFGQKVCJ-JTQLQIEISA-N,724256,True
SML0173,5,,RWRDLPDLKQPQOW-UHFFFAOYSA-N,724608,True
SML0174,1,Class II only,NEHNMFOYXAPHSD-SNVBAGLBSA-N,723434,True
SML0177,0,shared,POIARNZEYGURDG-FNORWQNLSA-N,724026,True
SML0178,1,Class II only,JZQKTMZYLHNFPL-BLHCBFLLSA-N,722634,True
SML0179,1,,HZYHMHHBBBSGHB-ODYTWBPASA-N,722165,True
SML0180,0,shared,UZFLPKAIBPNNCA-BQYQJAHWSA-N,725122,True
SML0181,1,,HZYHMHHBBBSGHB-KPDBFRNYSA-N,722164,True
SML0182,1,,CWRKZMLUDFBPAO-SREVYHEPSA-N,721140,True
SML0183,1,Class II only,UZFFFFWQKMPLAC-ARJAWSKDSA-N,725121,True
SML0184,0,shared,BGTBFNDXYDYBEY-FNORWQNLSA-N,720748,True
SML0186,0,shared,FQTLCLSUCSAZDY-SDNWHVSQSA-N,721599,True
SML0187,0,shared,PSQYTAPXSHCGMF-BQYQJAHWSA-N,724071,True
SML0188,0,shared,HIGQPQRQIQDZMP-UHFFFAOYSA-N,722009,True
SML0189,1,Class II only,CWRKZMLUDFBPAO-VOTSOKGWSA-N,721142,True
SML0190,1,,QKTZBZWNADPFOL-BNFZFUHLSA-N,724237,True
SML0191,1,,ZHHYXNZJDGDGPJ-BSWSSELBSA-N,726231,True
SML0192,1,,CXENHBSYCFFKJS-VDQVFBMKSA-N,721148,True
SML0193,0,shared,GHVNFZFCNZKVNT-UHFFFAOYSA-N,721754,True
SML0195,1,Class II only,KLTVSWGXIAYTHO-UHFFFAOYSA-N,722753,True
SML0196,3,,FXHGMKSSBGDXIY-UHFFFAOYSA-N,721660,True
SML0197,5,Class I only,XUPYJHCZDLZNFP-UHFFFAOYSA-N,725837,True
SML0198,3,,XNLICIUVMPYHGG-UHFFFAOYSA-N,725775,True
SML0200,3,shared,LSTSBZKIQFOPHA-UHFFFAOYSA-N,723070,True
SML0201,5,,SRONXYPFSAKOGH-UHFFFAOYSA-N,724769,True
SML0202,1,Class II only,FFVHXGZXDRXFLQ-UHFFFAOYSA-N,721501,True
SML0203,0,,BKWHDPNQDGBHET-UHFFFAOYSA-N,720795,True
SML0204,1,Class II only,SXOZDDAFVJANJP-UHFFFAOYSA-N,724823,True
SML0205,1,Class II only,UPOSSYJVWXLPTA-UHFFFAOYSA-N,725037,True
SML0206,1,shared,CJPNOLIZCWDHJK-UHFFFAOYSA-N,721012,True
SML0207,1,,PQYGSSYFJIJDFK-UHFFFAOYSA-N,724055,True
SML0208,0,,HABNNYNSJFKZFE-UHFFFAOYSA-N,721928,True
SML0209,1,Class II only,ALHUZKCOMYUFRB-OAHLLOKOSA-N,720550,True
SML0210,1,Class II only,ALHUZKCOMYUFRB-HNNXBMFYSA-N,720549,True
SML0211,4,shared,HUIYGGQINIVDNW-UHFFFAOYSA-N,722113,True
SML0212,0,shared,KJPRLNWUNMBNBZ-QPJJXVBHSA-N,722737,True
SML0213,5,,CFNJLPHOBMVMNS-UHFFFAOYSA-N,720978,True
SML0214,1,Class I only,ZCDYAMJXVAUTIM-UHFFFAOYSA-N,726172,True
SML0215,0,shared,GTNCESCYZPMXCJ-UHFFFAOYSA-N,721862,True
SML0217,5,,BDFAOUQQXJIZDG-UHFFFAOYSA-N,720717,True
SML0218,3,,FEWLNYSYJNLUOO-UHFFFAOYSA-N,721490,True
SML0219,0,shared,CBJPZHSWLMJQRI-UHFFFAOYSA-N,720933,True
SML0220,2,Class I only,CWERGRDVMFNCDR-UHFFFAOYSA-N,721136,True
SML0221,0,shared,KZCOBXFFBQJQHH-UHFFFAOYSA-N,722873,True
SML0222,1,Class II only,YCIXWYOBMVNGTB-UHFFFAOYSA-N,725899,True
SML0223,1,Class I only,PBGWNXWNCSSXCO-UHFFFAOYSA-N,723905,True
SML0224,5,,UHOVQNZJYSORNB-UHFFFAOYSA-N,724964,True
SML0225,1,shared,AZOCECCLWFDTAP-RKDXNWHRSA-N,720669,True
SML0226,2,Class I only,NTWSIWWJPQHFTO-UHFFFAOYSA-N,723604,True
SML0227,0,shared,SMWDFEZZVXVKRB-UHFFFAOYSA-N,724742,True
SML0228,1,Class II only,ODHAQPXNQDBHSH-UHFFFAOYSA-N,723689,True
SML0229,3,,JUJWROOIHBZHMG-UHFFFAOYSA-N,722596,True
