SML,SMILES,InChIKey,Odors
SML0122,CC1=CN=C(C(=N1)C)C,IAEGWXHKWJGQAZ-UHFFFAOYSA-N,"powdery, musty, coffee, hazelnut, potato, burnt, nutty, earthy, roasted, cocoa"
SML0123,CC(C)C1=NC=CN=C1OC,NTOPKICPEQUPPH-UHFFFAOYSA-N,"potato, chocolate, nutty, earthy, vegetable"
SML0124,CC(C)CC1=NC=CN=C1OC,UXFSPRAGHGMRSQ-UHFFFAOYSA-N,green
SML0125,CCCCC(=O)O,NQPDZGIKBAWPEJ-UHFFFAOYSA-N,"acidic, cheesy, tobacco, milky, sharp, fruity, sour"
SML0126,CCCCCC/C=C/C=O,BSAIUMLZVGUGKX-BQYQJAHWSA-N,"cucumber, fatty, orris, melon, citrus, green, waxy, aldehydic"
SML0127,CCC(=O)C=C,JLIDVCMBCGBIEY-UHFFFAOYSA-N,"peppery, spicy, pungent, alliaceous, radish, onion, garlic, ethereal"
SML0128,CC1C(=O)C(=C(O1)C)O,INAXVXBDKKUCGI-UHFFFAOYSA-N,"brown, strawberry, burnt, pineapple, sweet, roasted, caramellic, savory, fruity"
SML0129,CSCCC=O,CLUWOWRTHNNBBU-UHFFFAOYSA-N,"bready, musty, potato, oily, meaty, earthy, onion, brothy, savory, creamy, tomato, vegetable"
SML0130,CN(C)C,GETQZCLCWQTVFV-UHFFFAOYSA-N,"pungent, fishy, oily, fruity"
SML0131,CC1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)C(=O)C,WXCMHFPAUCOJIG-UHFFFAOYSA-N,"powdery, soapy, fatty, floral, dry, musk"
SML0132,CC1C(=O)C(=C(O1)C)OC,SIMKGHMLPVDSJE-UHFFFAOYSA-N,"musty, coffee, potato, winey, brandy, meaty, sweet, caramellic, mushroom, fruity, cocoa, vegetable"
SML0133,CCC1=NC=CN=C1C(=O)C,PPJSYGVFDJEMRP-UHFFFAOYSA-N,"popcorn, musty, hazelnut, potato, nutty, meaty, earthy"
SML0134,CCC1=NC=CN=C1,KVFIJIWMDBAGDP-UHFFFAOYSA-N,"musty, coffee, buttery, fermented, nutty, meaty, roasted, woody, cocoa"
SML0135,C[C@@H]1CC(=O)C=C2[C@]1(C[C@@H](CC2)C(=C)C)C,WTOYNNBCKUYIKC-JMSVASOKSA-N,"citrus, sweet, grapefruit, woody, orange"
