SML,SMILES,MolWt,LogP,TPSA,HBD,HBA,RotBonds,AromaticRings,RingCount,FracCsp3,HeavyAtoms,nO,nN,nS,fg_alcohol,fg_phenol,fg_carboxylic_acid,fg_ester,fg_ether,fg_aldehyde,fg_ketone,fg_amine,fg_aromatic,fg_benzene,fg_lactone,fg_sulfide,fg_nitrile,fg_halogen,fg_terpene_isopropyl
SML0702,CC(C)(CCC1=CC=CC=C1)O,164.248,2.390100000000001,20.23,1,1,3,1,1,0.45454545454545453,12,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SML0703,C=CCOC(=O)CCC1CCCCC1,196.28999999999994,3.076100000000002,26.3,0,2,5,0,1,0.75,14,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
SML0704,CCCCCCC1CCCC1=O,168.27999999999997,3.3260000000000023,17.07,0,1,5,0,1,0.9090909090909091,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SML0705,CCCCCCC(C)(CC)O,158.285,3.117800000000002,20.23,1,1,6,0,0,1.0,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SML0706,CCCC(=O)OCC1=CC=CC=C1,178.231,2.5299000000000005,26.3,0,2,4,1,1,0.36363636363636365,13,2,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
SML0707,CC(=CCCC1=CCC(CC1)C=O)C,192.30199999999996,3.6582000000000026,17.07,0,1,4,0,1,0.6153846153846154,14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SML0708,CCCCCC1CCCC1=O,154.253,2.935900000000001,17.07,0,1,4,0,1,0.9,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SML0709,CCCCCC1C(CC(=O)O1)C,170.25199999999998,2.518300000000001,26.3,0,2,4,0,1,0.9,12,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
SML0710,CCC(=O)OCC1=CC=CC=C1,164.204,2.1398,26.3,0,2,3,1,1,0.3,12,2,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
SML0711,CC(CN)C1=CC=CC=C1,135.20999999999998,1.7488000000000001,26.02,1,1,2,1,1,0.3333333333333333,10,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
SML0712,CCCCCCCCCC1CCCC(=O)O1,226.35999999999996,4.222800000000004,26.3,0,2,8,0,1,0.9285714285714286,16,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
SML0713,CCCCCCCC1CC=CC(=O)O1,196.29,3.218600000000002,26.3,0,2,6,0,1,0.75,14,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
SML0714,CCCCCCCCC=CC#N,165.28,3.816780000000003,23.79,0,1,7,0,0,0.7272727272727273,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SML0715,CCCCCC(CC)OC(=O)C,172.26799999999997,2.908400000000001,26.3,0,2,6,0,0,0.9,12,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
SML0716,CCCCCC(CCCC)O,158.285,3.117800000000002,20.23,1,1,7,0,0,1.0,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SML0717,CCCCCCCC1CCCC1=O,182.30699999999996,3.7161000000000026,17.07,0,1,6,0,1,0.9166666666666666,13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SML0718,CC(CCC=C(C)C)CCOCC=O,198.30599999999995,2.974500000000001,26.3,0,2,8,0,0,0.75,14,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
SML0719,CC1=C2C(=CC=C1)C=CN2,131.17799999999997,2.4763199999999994,15.79,1,0,0,2,2,0.1111111111111111,10,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SML0720,C1CCCCOC(=O)CCC1,156.22499999999997,2.2739000000000003,26.3,0,2,0,0,1,0.8888888888888888,11,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
SML0721,C1=CC=C(C=C1)/C=C/C#N,129.16199999999995,2.2233800000000006,23.79,0,1,1,1,1,0.0,10,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
SML0722,CCCCCCCCCCCC#N,181.32299999999998,4.430880000000004,23.79,0,1,9,0,0,0.9166666666666666,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SML0723,CC(C)C(=O)OCCOC1=CC=CC=C1,208.257,2.2646000000000006,35.53,0,3,5,1,1,0.4166666666666667,15,3,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
SML0724,CC1=CC2=C(C=C1)NC=C2,131.178,2.4763199999999994,15.79,1,0,0,2,2,0.1111111111111111,10,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SML0725,CCOC(=O)C1C(O1)C2=CC=CC=C2,192.214,1.6895999999999998,38.83,0,3,3,1,2,0.36363636363636365,14,3,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
SML0726,CC(=O)OCC1=CC=C(C=C1)OC,180.203,1.7583,35.53,0,3,3,1,1,0.3,13,3,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
SML0727,CC(=CCC/C(=C/COC=O)/C)C,182.263,2.852100000000001,26.3,0,2,6,0,0,0.5454545454545454,13,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SML0728,CC(=CCC/C(=C\COC(=O)C)/C)C,196.29,3.242200000000002,26.3,0,2,5,0,0,0.5833333333333334,14,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
SML0729,CCCCC1CCCC(=O)O1,156.225,2.2723000000000004,26.3,0,2,3,0,1,0.8888888888888888,11,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
SML0730,CCCCCCCCC1CCCC(=O)O1,212.33299999999994,3.8327000000000027,26.3,0,2,7,0,1,0.9230769230769231,15,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
