node,kind,SML,Odors
5,gain,SML0432,"natural, tropical, fatty, oily, grape, nutty, rum, cognac, rose, waxy, fruity"
5,gain,SML0444,"herbal, cucumber, fatty, leafy, fresh, banana, green, waxy, vegetable"
5,gain,SML0445,"fatty, melon, pear, citrus, green, fruity"
5,gain,SML0482,
5,gain,SML0487,"jasmin, balsamic, ripe, sweet, fresh, banana, green, fruity, apple"
5,gain,SML0490,
5,gain,SML0506,"fatty, floral, rose, green, aldehydic, orange"
5,gain,SML0560,
5,gain,SML0580,"jammy, tropical, strawberry, berry, burnt, sweet, caramellic, fruity"
5,gain,SML0592,"berry, mint, plum, sweet, floral, rose, green, woody, fruity, apple"
5,gain,SML0600,
5,gain,SML0635,
5,gain,SML0646,
5,gain,SML0657,"amber, powdery, sweet, dry, fruity, musk"
5,gain,SML0663,"amber, oily, animal, sweet, musk"
5,gain,SML0698,"lactonic, jasmine, herbal, spicy, fatty, sweet, floral, waxy, fruity, creamy"
5,gain,SML0701,"citrus, sweet, floral, fresh, waxy, woody"
5,gain,SML0703,"tropical, pineapple, sweet, waxy, fruity"
5,gain,SML0712,"cheesy, fatty, milky, buttery, oily, dairy, sweet, waxy, creamy"
5,gain,SML0726,"powdery, balsamic, plum, sweet, floral, coumarinic, vanilla, fruity, cherry"
5,gain,SML0730,"musty, fatty, milky, buttery, oily, dairy, creamy"
5,loss,SML0015,"acidic, pungent, sharp, sour"
5,loss,SML0049,"acidic, cheesy, pungent, milky, dairy, sour"
5,loss,SML0102,
5,loss,SML0154,odorless
5,loss,SML0175,
5,loss,SML0226,
5,loss,SML0289,"balsamic, cinnamon, fatty, sweet, floral, rose, musk"
5,loss,SML0295,fatty
5,loss,SML0381,"powdery, honey, tobacco, chocolate, animal, sweet, floral, rose, waxy, sour"
5,loss,SML0408,odorless
5,loss,SML0409,
5,loss,SML0410,
5,loss,SML0491,"brown, powdery, phenolic, odorless, milky, dairy, sweet, vanilla, creamy"
5,loss,SML0512,balsamic
5,loss,SML0539,
5,loss,SML0606,
5,loss,SML0611,
5,loss,SML0614,
5,loss,SML0615,
5,loss,SML0617,odorless
5,loss,SML0619,
5,loss,SML0620,
5,loss,SML0631,
5,loss,SML0742,
5,loss,SML0744,"cheesy, fatty, green, waxy, sour"
6,gain,SML0013,"bready, musty, hazelnut, potato, burnt, nutty, earthy, roasted, green"
6,gain,SML0034,
6,gain,SML0059,"burnt, nutty, green"
6,gain,SML0066,"peppery, musty, potato, nutty, green, vegetable"
6,gain,SML0071,"musty, nutty, earthy, green, vegetable"
6,gain,SML0073,"hyacinth, herbal, green"
6,gain,SML0091,"sharp, solvent, pear, pineapple, sweet, banana, fruity, ethereal"
6,gain,SML0114,"powdery, hyacinth, honey, chocolate, fermented, sweet, floral, earthy, rose, green, cocoa"
6,gain,SML0123,"potato, chocolate, nutty, earthy, vegetable"
6,gain,SML0124,green
6,gain,SML0153,"popcorn, coffee, hazelnut, nutty, roasted, caramellic, cocoa, vegetable"
6,gain,SML0164,
6,gain,SML0169,"lemon, citrus"
6,gain,SML0188,
6,gain,SML0215,"hyacinth, balsamic, floral, fruity"
6,gain,SML0272,"chemical, coffee, meaty, onion, brothy, roasted, vegetable, sulfurous"
6,gain,SML0306,"spicy, balsamic, cinnamon, sweet, floral, fruity"
6,gain,SML0329,"coffee, alliaceous, fatty, chicken, oily, smoky, burnt, meaty, caramellic, savory, sulfurous"
6,gain,SML0340,"balsamic, strawberry, sweet, fruity, cherry"
6,gain,SML0345,"tropical, meaty, floral, sulfurous"
6,gain,SML0380,balsamic
6,gain,SML0391,"geranium, powdery, herbal, balsamic, metallic, rose"
6,gain,SML0422,"balsamic, sweet"
6,gain,SML0441,"powdery, sharp, nutty, sweet, fruity, almond, cherry"
6,gain,SML0505,"jasmine, phenolic, metallic, smoky, burnt, animal, woody, medicinal"
6,gain,SML0559,"cortex, balsamic, melon, leafy, floral, fresh, green, aldehydic"
6,gain,SML0576,
6,gain,SML0577,"lily, fresh, green, waxy, aldehydic, woody"
6,gain,SML0579,"amber, powdery, balsamic, melon, citrus, sweet, floral, dry, fresh, green, aldehydic, woody, fruity, almond, cherry, orange"
6,gain,SML0587,"cooling, herbal, spicy, phenolic, smoky, camphoreous, woody, medicinal"
6,gain,SML0614,
6,gain,SML0682,"orangeflower, powdery, sweet, floral, orange"
6,gain,SML0726,"powdery, balsamic, plum, sweet, floral, coumarinic, vanilla, fruity, cherry"
6,gain,SML0732,"hawthorn, powdery, balsamic, anisic, sweet, floral, vanilla, hay"
6,loss,SML0126,"cucumber, fatty, orris, melon, citrus, green, waxy, aldehydic"
6,loss,SML0136,"ozone, melon, floral, fresh, green, hay"
6,loss,SML0222,"jasmin, powdery, jasmine, herbal, spicy, sweet, floral, woody, fruity"
6,loss,SML0250,"fatty, lemon, citrus, sweet, fresh, green, waxy, aldehydic, fruity, orange"
6,loss,SML0314,"clean, herbal, spicy, cheesy, pungent, fatty, sharp, leafy, fresh, banana, green, aldehydic, fruity, vegetable, grassy, apple"
6,loss,SML0324,"honey, balsamic, cinnamon, plum, floral"
6,loss,SML0368,"terpenic, herbal, sharp, warm, earthy, pine, fresh, woody"
6,loss,SML0369,"minty, terpenic, herbal, aromatic"
6,loss,SML0372,"terpenic, spicy, oily, citrus, camphoreous, pine, green, woody"
6,loss,SML0445,"fatty, melon, pear, citrus, green, fruity"
6,loss,SML0522,"minty, herbal, spicy, fatty, oily, fresh, green, cherry, grassy"
6,loss,SML0526,
6,loss,SML0557,"raspberry, anise, anisic, sweet, green"
6,loss,SML0561,
6,loss,SML0596,"celery, jasmin, jasmine, herbal, spicy, citrus, floral, woody, fruity"
6,loss,SML0676,
6,loss,SML0683,"geranium, muguet, lily, honey, tropical, floral, rose, fresh, green"
12,loss,SML0012,"terpenic, cooling, herbal, sweet, camphoreous, earthy, pine, fresh, woody"
12,loss,SML0013,"bready, musty, hazelnut, potato, burnt, nutty, earthy, roasted, green"
12,loss,SML0031,"floral, fresh, green"
12,loss,SML0034,
12,loss,SML0059,"burnt, nutty, green"
12,loss,SML0064,"popcorn, musty, coffee, hazelnut, potato, chocolate, nutty, roasted"
12,loss,SML0066,"peppery, musty, potato, nutty, green, vegetable"
12,loss,SML0071,"musty, nutty, earthy, green, vegetable"
12,loss,SML0073,"hyacinth, herbal, green"
12,loss,SML0077,"pear, banana, fruity, ethereal, apple"
12,loss,SML0081,
