molecule,n_receptors,group_id,group_size,SMILES,InChIKey,Odors,tags,n_tags
SML0162,1,G004,9,CCCCC(C(=O)O)Br,HZTPKMIMXLTOSK-UHFFFAOYSA-N,,frozenset(),0
SML0226,1,G004,9,CCCC(=CC(=O)O)C,NTWSIWWJPQHFTO-UHFFFAOYSA-N,,frozenset(),0
SML0602,1,G004,9,C[C@H](C(=O)N[C@H](C)C(=O)O)N,DEFJQIDDEAULHB-QWWZWVQMSA-N,,frozenset(),0
SML0608,1,G004,9,C([C@@H](C(=O)O)O)O,RBNPOMFGQQGHHO-REOHCLBHSA-N,,frozenset(),0
SML0611,1,G004,9,CC(=O)N[C@@H](CCC(=O)O)C(=O)O,RFMMMVDNIPUKGG-YFKPBYRVSA-N,,frozenset(),0
SML0617,1,G004,9,C(CC(=O)O)C(=O)C(=O)O,KPGXRSRHYNQIFN-UHFFFAOYSA-N,odorless,frozenset({'odorless'}),1
SML0040,1,G005,8,CC1=CC(=CC=C1)C,IVSZLXZYQVIEFR-UHFFFAOYSA-N,,frozenset(),0
SML0106,1,G005,8,CCCCCCOC(=O)CCC,XAPCMTMQBXLDBB-UHFFFAOYSA-N,"fruity, sweet, vegetable, estery, apple, green, soapy, waxy","frozenset({'fruity', 'vegetable', 'apple', 'soapy', 'green', 'estery', 'waxy', 'sweet'})",8
SML0224,1,G005,8,C1=CC=CC=C1,UHOVQNZJYSORNB-UHFFFAOYSA-N,,frozenset(),0
SML0259,1,G005,8,CCOC(C)OCC,DHKHKXVYLBGOIT-UHFFFAOYSA-N,"alcoholic, fruity, green, sweet, vegetable, nutty, ethereal, earthy","frozenset({'fruity', 'ethereal', 'vegetable', 'alcoholic', 'nutty', 'green', 'earthy', 'sweet'})",8
SML0352,1,G005,8,CCC(C)COC(=O)C,XHIUFYZDQBSEMF-UHFFFAOYSA-N,"apple, banana, ethereal, fruity, sweet, estery, ripe, tropical","frozenset({'ripe', 'fruity', 'ethereal', 'tropical', 'apple', 'banana', 'estery', 'sweet'})",8
SML0358,1,G005,8,CC1=CCC(C=C1)C(C)C,OGLDWXZKYODSOB-UHFFFAOYSA-N,"citrus, fresh, minty, spicy, woody","frozenset({'citrus', 'fresh', 'spicy', 'woody', 'minty'})",5
SML0375,1,G005,8,CC(=O)CC(C)(C)S,QRNZMFDCKKEPSX-UHFFFAOYSA-N,"fruity, meaty, savory, tropical, sulfurous, green","frozenset({'fruity', 'savory', 'tropical', 'green', 'sulfurous', 'meaty'})",6
SML0566,1,G005,8,CC(C(=O)C)C(=O)C,GSOHKPVFCOWKPU-UHFFFAOYSA-N,"burnt, fruity, ketonic","frozenset({'ketonic', 'fruity', 'burnt'})",3
SML0245,4,G006,7,CCCC[C@H]1[C@H](CC(=O)O1)C,WNVCMFHPRIBNCW-YUMQZZPRSA-N,coconut,frozenset({'coconut'}),1
SML0335,4,G006,7,CC(=CCCC(=C)C=C)C,UAHWPYUMFXYFJY-UHFFFAOYSA-N,"spicy, peppery, terpenic, herbal, rose, balsamic, woody, celery","frozenset({'celery', 'peppery', 'spicy', 'balsamic', 'rose', 'terpenic', 'woody', 'herbal'})",8
SML0455,4,G006,7,CCCCC[C@@H](C)O,CETWDUZRCINIHU-SSDOTTSWSA-N,"sweet, fruity, fatty, oily","frozenset({'oily', 'fruity', 'fatty', 'sweet'})",4
SML0456,4,G006,7,CCCCCC(C)(C)O,ACBMYYVZWKYLIP-UHFFFAOYSA-N,,frozenset(),0
SML0466,4,G006,7,CCCCOC,CXBDYQVECUFKRK-UHFFFAOYSA-N,,frozenset(),0
SML0547,4,G006,7,CCCCCCCCCCOC(=O)C,NUPSHWCALHZGOV-UHFFFAOYSA-N,"fatty, fruity, orange, pineapple, rose, sweet, clean, creamy, fresh, soapy, citrus, waxy","frozenset({'orange', 'fruity', 'citrus', 'creamy', 'pineapple', 'fresh', 'rose', 'soapy', 'fatty', 'clean', 'waxy', 'sweet'})",12
SML0715,4,G006,7,CCCCCC(CC)OC(=O)C,STZUZYMKSMSTOU-UHFFFAOYSA-N,"citrus, floral, green, minty, rose, waxy, aldehydic, fatty, herbal, apple, anisic, fresh, bergamot, woody, grapefruit","frozenset({'citrus', 'anisic', 'bergamot', 'fresh', 'rose', 'floral', 'green', 'aldehydic', 'fatty', 'grapefruit', 'apple', 'waxy', 'woody', 'minty', 'herbal'})",15
SML0126,5,G007,7,CCCCCC/C=C/C=O,BSAIUMLZVGUGKX-BQYQJAHWSA-N,"cucumber, fatty, melon, orris, waxy, aldehydic, green, citrus","frozenset({'citrus', 'cucumber', 'melon', 'orris', 'green', 'aldehydic', 'fatty', 'waxy'})",8
SML0191,5,G007,7,CCCC/C=C/C=C/C=O,ZHHYXNZJDGDGPJ-BSWSSELBSA-N,"chicken, fatty, nutty, melon, cucumber, green, waxy","frozenset({'cucumber', 'melon', 'nutty', 'green', 'fatty', 'chicken', 'waxy'})",7
SML0192,5,G007,7,CC(=CCC/C(=C/C/C=C(\C)/C=C)/C)C,CXENHBSYCFFKJS-VDQVFBMKSA-N,"apple, berry, citrus, green, herbal, vegetable, floral, lavender, bergamot, woody","frozenset({'citrus', 'vegetable', 'bergamot', 'floral', 'green', 'lavender', 'berry', 'apple', 'woody', 'herbal'})",10
SML0233,5,G007,7,CC/C=C\CC/C=C/CO,AMXYRHBJZOVHOL-ODYTWBPASA-N,"cucumber, green, herbal, violet, leafy, fatty, nutty, oily","frozenset({'oily', 'leafy', 'cucumber', 'nutty', 'green', 'fatty', 'violet', 'herbal'})",8
SML0254,5,G007,7,CCCCC/C=C\C=O,LVBXEMGDVWVTGY-SREVYHEPSA-N,"leafy, fatty, fruity, green","frozenset({'green', 'fruity', 'leafy', 'fatty'})",4
SML0355,5,G007,7,CC/C=C/CC/C=C/CO,AMXYRHBJZOVHOL-DYWGDJMRSA-N,green,frozenset({'green'}),1
SML0453,5,G007,7,CCCCC(=O)C,QQZOPKMRPOGIEB-UHFFFAOYSA-N,"cheesy, dairy, fruity, ketonic, buttery, meaty","frozenset({'fruity', 'dairy', 'buttery', 'ketonic', 'cheesy', 'meaty'})",6
SML0084,3,G008,7,CCC(=O)C,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,"camphoreous, fruity, ketonic, solvent, sweet, ethereal","frozenset({'fruity', 'ethereal', 'solvent', 'camphoreous', 'ketonic', 'sweet'})",6
SML0092,3,G008,7,CC1(C2CCC(O1)(CC2)C)C,WEEGYLXZBRQIMU-UHFFFAOYSA-N,"camphoreous, fresh, herbal, medicinal","frozenset({'fresh', 'medicinal', 'herbal', 'camphoreous'})",4
SML0173,3,G008,7,C1CCNC1,RWRDLPDLKQPQOW-UHFFFAOYSA-N,"animal, fishy","frozenset({'animal', 'fishy'})",2
SML0331,3,G008,7,CCCCCCOC(=O)C,AOGQPLXWSUTHQB-UHFFFAOYSA-N,"apple, fruity, pear, sweet, fatty, banana, fresh, green","frozenset({'fruity', 'fresh', 'green', 'pear', 'fatty', 'apple', 'banana', 'sweet'})",8
SML0334,3,G008,7,CCCSSSC,ZOYASYRPGHCQHW-UHFFFAOYSA-N,"garlic, green, onion, sweet, metallic, clean, sulfurous, cooked","frozenset({'onion', 'cooked', 'green', 'garlic', 'clean', 'sulfurous', 'sweet', 'metallic'})",8
SML0461,3,G008,7,CCC(=O)OC,RJUFJBKOKNCXHH-UHFFFAOYSA-N,"ethereal, fruity, rummy, strawberry, apple, fresh","frozenset({'fruity', 'ethereal', 'strawberry', 'fresh', 'apple', 'rummy'})",6
SML0462,3,G008,7,CCC(=O)OC(C)(C)C,JAELLLITIZHOGQ-UHFFFAOYSA-N,"brandy, fruity, rummy","frozenset({'fruity', 'brandy', 'rummy'})",3
SML0385,8,G009,6,C1CCCCCC(=O)CCCC=CCCCC1,ABRIMXGLNHCLIP-UHFFFAOYSA-N,,frozenset(),0
SML0662,8,G009,6,C1CCCCCC(=O)CCC=CCCCC1,JIYIHILAGIZIMD-UHFFFAOYSA-N,,frozenset(),0
SML0667,8,G009,6,C1CCCCCOCCCCOC(=O)CCCC1,MRMOPGVGWFNHIN-UHFFFAOYSA-N,"sweet, fruity, woody, musk, waxy","frozenset({'fruity', 'musk', 'waxy', 'woody', 'sweet'})",5
SML0670,8,G009,6,C1CCCCOCCCCCCOC(=O)CCC1,MZLRFHKWWCSGHB-UHFFFAOYSA-N,"sweet, animal, floral, fruity, oily, musk","frozenset({'oily', 'fruity', 'floral', 'musk', 'animal', 'sweet'})",6
SML0686,8,G009,6,CCC(C1CCCC/C=C\C1)O,LLYJRIQMURUPPF-XQRVVYSFSA-N,,frozenset(),0
SML0694,8,G009,6,CCCCCCCCC(C)C#N,XPCSGXMQGQGBKU-UHFFFAOYSA-N,"floral, fruity, jasmine, peach, lactonic","frozenset({'fruity', 'peach', 'lactonic', 'floral', 'jasmine'})",5
SML0076,6,G010,6,C1CCCCCCOC(=O)/C=C/CCCCC1,KHLFMZDGADSQGR-ACCUITESSA-N,"sweet, musk, waxy","frozenset({'waxy', 'sweet', 'musk'})",3
SML0209,6,G010,6,C[C@@H]1CCCCCCCCCCCCC(=O)C1,ALHUZKCOMYUFRB-OAHLLOKOSA-N,"powdery, animal, musk","frozenset({'animal', 'powdery', 'musk'})",3
SML0387,6,G010,6,C1CCC/C=C/CCCCCCC(=O)CCC1,ZGEHHVDYDNXYMW-OWOJBTEDSA-N,,frozenset(),0
SML0664,6,G010,6,C1CCCCCC(=O)CCC/C=C\CCCC1,ABRIMXGLNHCLIP-VURMDHGXSA-N,"dry, amber, powdery, musk","frozenset({'dry', 'amber', 'powdery', 'musk'})",4
SML0668,6,G010,6,CC1CCOC(=O)CCCCCCC/C=C\C1,NUSRNVWNTPMBJA-VURMDHGXSA-N,,frozenset(),0
SML0738,6,G010,6,CC1CC=CCCCCCCCCC(=O)C1,ZFGBKXBPHOUSJX-UHFFFAOYSA-N,"animal, fatty, powdery, anisic, woody, musk","frozenset({'anisic', 'powdery', 'musk', 'animal', 'fatty', 'woody'})",6
SML0127,2,G011,6,CCC(=O)C=C,JLIDVCMBCGBIEY-UHFFFAOYSA-N,"alliaceous, pungent, radish, spicy, peppery, garlic, onion, ethereal","frozenset({'radish', 'onion', 'ethereal', 'pungent', 'peppery', 'spicy', 'garlic', 'alliaceous'})",8
SML0218,2,G011,6,C1CCN(CC1)C=O,FEWLNYSYJNLUOO-UHFFFAOYSA-N,,frozenset(),0
SML0300,2,G011,6,CC1=CC=C(C=C1)O,IWDCLRJOBJJRNH-UHFFFAOYSA-N,"animal, medicinal, phenolic, smoky","frozenset({'phenolic', 'animal', 'smoky', 'medicinal'})",4
SML0304,2,G011,6,CSCC=C,NVLPQIPTCCLBEU-UHFFFAOYSA-N,"garlic, onion, sulfurous, alliaceous","frozenset({'alliaceous', 'onion', 'garlic', 'sulfurous'})",4
SML0321,2,G011,6,CCOC(=O)C,XEKOWRVHYACXOJ-UHFFFAOYSA-N,"brandy, ethereal, sharp, winey, sweet, rummy, grape, weedy, fruity, green","frozenset({'brandy', 'fruity', 'ethereal', 'sharp', 'green', 'grape', 'winey', 'rummy', 'sweet', 'weedy'})",10
