molecule,n_receptors,group_size,SMILES,InChIKey,Odors,tags,n_tags
SML0367,4,1,CC1=CC[C@H](CC1)C(C)(C)O,WUOACPNHFRMFPN-SECBINFHSA-N,"floral, terpenic","frozenset({'terpenic', 'floral'})",2
SML0373,4,1,CC=CC(=O)C1=C(C=CCC1(C)C)C,POIARNZEYGURDG-UHFFFAOYSA-N,,frozenset(),0
SML0380,12,1,C1=CC(=CC=C1/C=C/C(=O)O)O,NGSWKAQJJWESNS-ZZXKWVIFSA-N,balsamic,frozenset({'balsamic'}),1
SML0382,15,1,CCCCCC1CCCC(=O)O1,GHBSPIPJMLAMEP-UHFFFAOYSA-N,"buttery, creamy, milky, nutty, peach, sweet, fatty, fruity, oily, coconut, fresh, dairy, lactonic","frozenset({'oily', 'fruity', 'creamy', 'peach', 'dairy', 'fresh', 'lactonic', 'buttery', 'nutty', 'coconut', 'milky', 'fatty', 'sweet'})",13
SML0383,11,1,CC(=O)C1=CC=CC=C1N,GTDQGKWDWVUKTI-UHFFFAOYSA-N,"grape, sweet","frozenset({'grape', 'sweet'})",2
SML0384,5,1,C1CCCCCCCC(=O)CCCCCC1,OSOIQJGOYGSIMF-UHFFFAOYSA-N,"natural, animal, powdery, musk","frozenset({'animal', 'natural', 'powdery', 'musk'})",4
SML0389,4,1,CC1CCCCCCCCCCCC(=O)C1,VPQWBNWSLZYYFH-UHFFFAOYSA-N,,frozenset(),0
SML0391,6,1,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,RWCCWEUUXYIKHB-UHFFFAOYSA-N,"rose, metallic, herbal, powdery, balsamic, geranium","frozenset({'powdery', 'balsamic', 'rose', 'geranium', 'herbal', 'metallic'})",6
SML0392,19,1,CCOC(=O)CC1=CC(=CC=C1)Br,CAERSDJFKGMKLY-UHFFFAOYSA-N,,frozenset(),0
SML0393,12,1,CC1=CC=CC=C1CC(=O)OC,BLEMRRXGTKTJGT-UHFFFAOYSA-N,,frozenset(),0
SML0394,11,1,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,DGEZNRSVGBDHLK-UHFFFAOYSA-N,,frozenset(),0
SML0395,10,1,CCOC1=CC2=CC=CC=C2C=C1,GUMOJENFFHZAFP-UHFFFAOYSA-N,"floral, grape, powdery, orange","frozenset({'orange', 'grape', 'powdery', 'floral'})",4
SML0396,10,1,C=CC1=CC=C(C=C1)OCCCCOC2=CC=C(C=C2)C=C,RAPXVKLHABTPOM-UHFFFAOYSA-N,,frozenset(),0
SML0397,14,1,CC1=CCC(CC1=O)C(=C)C,ULDHMXUKGWMISQ-UHFFFAOYSA-N,minty,frozenset({'minty'}),1
SML0398,17,1,CCCCCCCCCCCO,KJIOQYGWTQBHNH-UHFFFAOYSA-N,"citrus, floral, fruity, oily","frozenset({'fruity', 'citrus', 'oily', 'floral'})",4
SML0399,9,1,CCCCCCCCCCCC=O,HFJRKMMYBMWEAD-UHFFFAOYSA-N,"floral, sweet, waxy, aldehydic, green, soapy, citrus","frozenset({'citrus', 'floral', 'soapy', 'green', 'aldehydic', 'waxy', 'sweet'})",7
SML0401,27,1,C(CCCCC(=O)O)CCCCBr,PGVRSPIEZYGOAD-UHFFFAOYSA-N,,frozenset(),0
SML0402,20,1,C(CCCCCBr)CCCCC(=O)O,IUDGNRWYNOEIKF-UHFFFAOYSA-N,,frozenset(),0
SML0403,23,1,C(CCCCCC(=O)O)CCCCCBr,YYKBWYBUCFHYPR-UHFFFAOYSA-N,,frozenset(),0
SML0404,29,1,CCCCCCCCCCC(=O)O,ZDPHROOEEOARMN-UHFFFAOYSA-N,"fatty, coconut, creamy, cheesy, waxy","frozenset({'creamy', 'coconut', 'fatty', 'waxy', 'cheesy'})",5
SML0405,5,1,C(CCC(=O)O)CCBr,NVRVNSHHLPQGCU-UHFFFAOYSA-N,,frozenset(),0
SML0406,19,1,C(CCCC(=O)O)CCCBr,BKJFDZSBZWHRNH-UHFFFAOYSA-N,,frozenset(),0
SML0407,16,1,CCCCCCCCCCO,MWKFXSUHUHTGQN-UHFFFAOYSA-N,"fatty, floral, oily, sweet, waxy, clean, orange","frozenset({'oily', 'orange', 'floral', 'fatty', 'clean', 'waxy', 'sweet'})",7
SML0411,3,1,C(CCCCC(=O)O)CCCC(=O)O,CXMXRPHRNRROMY-UHFFFAOYSA-N,,frozenset(),0
SML0412,5,1,C(CCCCCC(=O)O)CCCCC(=O)O,TVIDDXQYHWJXFK-UHFFFAOYSA-N,,frozenset(),0
SML0413,14,1,CCCC(C)C1OCC(CO1)(C)CCC,LODLFUCEWWWXPR-UHFFFAOYSA-N,"spicy, herbal, oily, fresh, green, jasmine","frozenset({'oily', 'spicy', 'fresh', 'green', 'jasmine', 'herbal'})",6
SML0414,6,1,CC(C)C1C(COC(O1)(C)C)(C)C,WVYKHQRCBWWGFK-UHFFFAOYSA-N,"herbal, fruity, green, woody, earthy","frozenset({'fruity', 'green', 'earthy', 'woody', 'herbal'})",5
SML0416,11,1,CCCCCCC(C)O,SJWFXCIHNDVPSH-UHFFFAOYSA-N,"earthy, floral, green, leafy, musty, spicy, herbal, fresh, woody","frozenset({'leafy', 'spicy', 'fresh', 'floral', 'green', 'earthy', 'musty', 'woody', 'herbal'})",9
SML0419,18,1,CCCCCCCC(C)O,NGDNVOAEIVQRFH-UHFFFAOYSA-N,"dairy, fruity, green, musty, waxy, cheesy, creamy, orange, citrus","frozenset({'orange', 'fruity', 'citrus', 'creamy', 'dairy', 'green', 'waxy', 'musty', 'cheesy'})",9
SML0420,9,1,CC1CCC(C(C1)O)C(C)C,NOOLISFMXDJSKH-UHFFFAOYSA-N,"minty, musty, mentholic, cooling","frozenset({'mentholic', 'musty', 'minty', 'cooling'})",4
