rank,taxid,pct_odorant,pct_background,odds_ratio,n_odorant,n_background,p,q,taxon
genus,68815,0.0,0.013668048658253223,0.0,0,21,1.0,1.0,Hydnellum
genus,87005,0.0,0.04816360003384469,0.0,0,74,1.0,1.0,Lantana
genus,211923,0.0,0.020827502717338246,0.0,0,32,1.0,1.0,Newbouldia
genus,49703,0.0,0.025383518936755986,0.0,0,39,1.0,1.0,Bulbine
genus,100370,0.24271844660194175,0.33389090293732876,0.7262750008300015,1,513,1.0,1.0,Croton
genus,42360,0.0,0.07680141627018477,0.0,0,118,1.0,1.0,Daldinia
genus,41585,0.0,0.016271486497920505,0.0,0,25,1.0,1.0,Gutenbergia
genus,2045129,0.0,0.014318908118170043,0.0,0,22,1.0,1.0,Mesosphaerum
genus,26378,0.24271844660194175,0.1588097082197041,1.5296458059112121,1,244,0.48139827678713837,1.0,Iris
genus,39550,0.0,0.026685237856589626,0.0,0,41,1.0,1.0,Yucca
genus,13511,0.0,0.051417897333428796,0.0,0,79,1.0,1.0,Erythroxylum
genus,19952,0.24271844660194175,0.09632720006768938,2.523426711382916,1,148,0.32914811433867047,1.0,Valeriana
genus,77014,0.0,0.07289625951068386,0.0,0,112,1.0,1.0,Melicope
genus,41589,0.0,0.09827977844743985,0.0,0,151,1.0,1.0,Inula
genus,35939,0.0,0.04165500543467649,0.0,0,64,1.0,1.0,Impatiens
genus,112054,0.0,0.05206875679334561,0.0,0,80,1.0,1.0,Dictyopteris
genus,13753,0.0,0.029939535156173726,0.0,0,46,1.0,1.0,Vernonia
genus,237077,0.0,0.03189211353592419,0.0,0,49,1.0,1.0,Aaptos
genus,41838,0.0,0.014969767578086863,0.0,0,23,1.0,1.0,Conocephalum
genus,97204,0.0,0.07354711897060068,0.0,0,113,1.0,1.0,Cystophora
genus,6151,0.0,0.04100414597475967,0.0,0,63,1.0,1.0,Eunicella
genus,354074,0.0,0.018874924337587785,0.0,0,29,1.0,1.0,Fridericia
genus,21621,0.0,0.031241254076007367,0.0,0,48,1.0,1.0,Heliotropium
genus,71056,0.0,0.047512740573927875,0.0,0,73,1.0,1.0,Heterotheca
genus,99291,0.0,0.028637816236340086,0.0,0,44,1.0,1.0,Hovenia
genus,16718,0.0,0.04621102165409423,0.0,0,71,1.0,1.0,Juglans
genus,97748,0.24271844660194175,0.022780081097088706,10.678345498783456,1,35,0.09191495403325338,1.0,Kaempferia
genus,23461,4.611650485436893,0.04425844327434377,109.18743451579105,19,68,5.096562374233324e-31,7.4562707535033525e-28,Mangifera
genus,43525,0.0,0.03189211353592419,0.0,0,49,1.0,1.0,Nauclea
genus,37564,0.24271844660194175,0.05727563247268017,4.245603848706039,1,88,0.21211719338395965,1.0,Ruta
genus,3896,0.0,0.180938929856876,0.0,0,278,1.0,1.0,Sophora
genus,43894,0.0,0.08200829194951934,0.0,0,126,1.0,1.0,Trichilia
genus,378919,0.24271844660194175,0.013017189198336403,18.688929440389295,1,20,0.054688379676339154,1.0,Agathosma
genus,25674,0.0,0.04360758381442695,0.0,0,67,1.0,1.0,Balanophora
genus,3869,0.0,0.07680141627018477,0.0,0,118,1.0,1.0,Lupinus
genus,183008,0.0,0.12301243792427902,0.0,0,189,1.0,1.0,Calea
genus,46968,0.24271844660194175,0.13147361090319767,1.8481968634819685,1,202,0.4195673263322348,1.0,Thalictrum
genus,53849,0.0,0.013017189198336403,0.0,0,20,1.0,1.0,Campylotropis
genus,16055,0.0,0.03579727029542511,0.0,0,55,1.0,1.0,Crinum
genus,3932,0.970873786407767,0.21868877853205157,4.473243464052287,4,336,0.013665653862192127,0.6058439878905176,Eucalyptus
genus,146094,0.0,0.057926491932596996,0.0,0,89,1.0,1.0,Gypsophila
genus,13100,0.0,0.10543923250652487,0.0,0,162,1.0,1.0,Juniperus
