comparison,tag,n_I,n_II,pct_I,pct_II,gap,p,q,stars
exclusive,ripe,4,0,5.714285714285714,0.0,5.714285714285714,,,
exclusive,balsamic,7,4,10.0,5.2631578947368425,4.7368421052631575,0.35354407755481454,0.4040503743483595,ns
exclusive,apple,7,4,10.0,5.2631578947368425,4.7368421052631575,0.35354407755481454,0.4040503743483595,ns
exclusive,banana,6,3,8.571428571428571,3.9473684210526314,4.624060150375939,0.3120845122627906,0.3999370658873197,ns
exclusive,roasted,5,2,7.142857142857143,2.6315789473684212,4.511278195488722,,,
exclusive,onion,4,1,5.714285714285714,1.3157894736842106,4.398496240601504,,,
exclusive,milky,4,1,5.714285714285714,1.3157894736842106,4.398496240601504,,,
exclusive,garlic,3,0,4.285714285714286,0.0,4.285714285714286,,,
exclusive,grassy,3,0,4.285714285714286,0.0,4.285714285714286,,,
exclusive,tobacco,3,0,4.285714285714286,0.0,4.285714285714286,,,
exclusive,tropical,5,3,7.142857142857143,3.9473684210526314,3.195488721804512,,,
exclusive,savory,4,2,5.714285714285714,2.6315789473684212,3.082706766917293,,,
exclusive,fermented,4,2,5.714285714285714,2.6315789473684212,3.082706766917293,,,
exclusive,pear,3,1,4.285714285714286,1.3157894736842106,2.969924812030075,,,
exclusive,winey,3,1,4.285714285714286,1.3157894736842106,2.969924812030075,,,
exclusive,odorless,3,1,4.285714285714286,1.3157894736842106,2.969924812030075,,,
exclusive,cognac,2,0,2.857142857142857,0.0,2.857142857142857,,,
exclusive,cedar,2,0,2.857142857142857,0.0,2.857142857142857,,,
exclusive,orange,6,5,8.571428571428571,6.578947368421052,1.992481203007519,0.7581596317596888,0.7826163940745174,ns
exclusive,meaty,4,3,5.714285714285714,3.9473684210526314,1.766917293233083,,,
exclusive,pine,2,1,2.857142857142857,1.3157894736842106,1.5413533834586466,,,
exclusive,cinnamon,2,1,2.857142857142857,1.3157894736842106,1.5413533834586466,,,
exclusive,alliaceous,2,1,2.857142857142857,1.3157894736842106,1.5413533834586466,,,
exclusive,solvent,2,1,2.857142857142857,1.3157894736842106,1.5413533834586466,,,
exclusive,chocolate,2,1,2.857142857142857,1.3157894736842106,1.5413533834586466,,,
exclusive,apricot,2,1,2.857142857142857,1.3157894736842106,1.5413533834586466,,,
exclusive,cabbage,2,1,2.857142857142857,1.3157894736842106,1.5413533834586466,,,
exclusive,estery,1,0,1.4285714285714286,0.0,1.4285714285714286,,,
exclusive,rummy,1,0,1.4285714285714286,0.0,1.4285714285714286,,,
exclusive,beefy,1,0,1.4285714285714286,0.0,1.4285714285714286,,,
exclusive,bready,1,0,1.4285714285714286,0.0,1.4285714285714286,,,
exclusive,horseradish,1,0,1.4285714285714286,0.0,1.4285714285714286,,,
exclusive,bergamot,1,0,1.4285714285714286,0.0,1.4285714285714286,,,
exclusive,burnt,1,0,1.4285714285714286,0.0,1.4285714285714286,,,
exclusive,radish,1,0,1.4285714285714286,0.0,1.4285714285714286,,,
exclusive,cooked,1,0,1.4285714285714286,0.0,1.4285714285714286,,,
exclusive,popcorn,1,0,1.4285714285714286,0.0,1.4285714285714286,,,
exclusive,dry,3,3,4.285714285714286,3.9473684210526314,0.33834586466165417,,,
exclusive,smoky,2,2,2.857142857142857,2.6315789473684212,0.22556390977443597,,,
exclusive,mentholic,2,2,2.857142857142857,2.6315789473684212,0.22556390977443597,,,
exclusive,honey,2,2,2.857142857142857,2.6315789473684212,0.22556390977443597,,,
exclusive,chicken,2,2,2.857142857142857,2.6315789473684212,0.22556390977443597,,,
exclusive,berry,2,2,2.857142857142857,2.6315789473684212,0.22556390977443597,,,
exclusive,brothy,1,1,1.4285714285714286,1.3157894736842106,0.11278195488721798,,,
exclusive,orris,1,1,1.4285714285714286,1.3157894736842106,0.11278195488721798,,,
exclusive,juicy,1,1,1.4285714285714286,1.3157894736842106,0.11278195488721798,,,
exclusive,lavender,1,1,1.4285714285714286,1.3157894736842106,0.11278195488721798,,,
exclusive,clove,1,1,1.4285714285714286,1.3157894736842106,0.11278195488721798,,,
exclusive,lactonic,1,1,1.4285714285714286,1.3157894736842106,0.11278195488721798,,,
exclusive,alcoholic,1,1,1.4285714285714286,1.3157894736842106,0.11278195488721798,,,
exclusive,nutty,5,6,7.142857142857143,7.894736842105263,-0.7518796992481196,,,
exclusive,aldehydic,4,5,5.714285714285714,6.578947368421052,-0.8646616541353378,,,
exclusive,coffee,2,3,2.857142857142857,3.9473684210526314,-1.0902255639097742,,,
exclusive,peach,2,3,2.857142857142857,3.9473684210526314,-1.0902255639097742,,,
exclusive,cocoa,2,3,2.857142857142857,3.9473684210526314,-1.0902255639097742,,,
exclusive,waxy,13,15,18.571428571428573,19.736842105263158,-1.1654135338345846,1.0,1.0,ns
