sml,SMILES,cluster,MolWt,LogP,TPSA,HBD,HBA,OxygenAtoms,RotBonds,FracCSP3,AromaticRings,RingCount,carboxylic acid,ester,aldehyde,ketone,alcohol,ether,aromatic ring,amine,sulfur,cluster_name
SML0153,CC1=NC=CN=C1C(=O)C,4,136.154,0.9876199999999999,42.85,0,3,1,1,0.2857142857142857,1,1,0,0,0,1,0,0,1,0,0,Roasted / Phenolic / Spice
SML0156,CC(=O)CCC1=CC=C(C=C1)O,4,164.204,1.9137999999999997,37.3,1,2,2,3,0.3,1,1,0,0,0,1,1,0,1,0,0,Roasted / Phenolic / Spice
SML0157,CCCCS,5,90.19099999999999,1.7163,0.0,1,1,0,2,1.0,0,0,0,0,0,0,0,0,0,0,1,Fermented / Solvent
SML0158,CCCCCCO,1,102.17699999999999,1.559,20.23,1,1,1,4,1.0,0,0,0,0,0,0,1,0,0,0,0,Fruity / Fatty / Aldehydic
SML0159,CCCCCCCO,1,116.204,1.9491,20.23,1,1,1,5,1.0,0,0,0,0,0,0,1,0,0,0,0,Fruity / Fatty / Aldehydic
SML0160,CCCCCO,1,88.14999999999999,1.1689,20.23,1,1,1,3,1.0,0,0,0,0,0,0,1,0,0,0,0,Fruity / Fatty / Aldehydic
SML0161,CCCCCCC(C(=O)O)Br,2,223.10999999999999,2.804900000000001,37.3,1,1,2,6,0.875,0,0,1,0,0,0,0,0,0,0,0,Acid / Dairy / Cheese
SML0162,CCCCC(C(=O)O)Br,2,195.05599999999998,2.0246999999999997,37.3,1,1,2,4,0.8333333333333334,0,0,1,0,0,0,0,0,0,0,0,Acid / Dairy / Cheese
SML0164,C1=CC=C(C=C1)CC(=O)[O-],0,135.14199999999997,-0.02100000000000013,40.129999999999995,0,2,2,2,0.125,1,1,0,0,0,0,0,0,1,0,0,Floral / Balsamic
SML0165,CC(C)C12CCC(O1)(CC2)C,5,154.253,2.7441000000000013,9.23,0,1,1,1,1.0,0,2,0,0,0,0,0,1,0,0,0,Fermented / Solvent
SML0166,CCCC(C)C=O,5,100.16099999999999,1.6215,17.07,0,1,1,3,0.8333333333333334,0,0,0,0,1,0,0,0,0,0,0,Fermented / Solvent
SML0168,CC1=CC[C@H](CC1=O)C(=C)C,4,150.22099999999998,2.4879000000000007,17.07,0,1,1,1,0.5,0,1,0,0,0,1,0,0,0,0,0,Roasted / Phenolic / Spice
SML0169,CC(=CCC/C(=C/C(OC)OC)/C)C,0,198.30599999999998,3.298000000000002,18.46,0,2,2,6,0.6666666666666666,0,0,0,0,0,0,0,1,0,0,0,Floral / Balsamic
SML0170,COC1=CC=CC=C1,4,108.13999999999997,1.6952,9.23,0,1,1,1,0.14285714285714285,1,1,0,0,0,0,0,1,1,0,0,Roasted / Phenolic / Spice
SML0171,CC(C)CCOC(=O)C,3,130.18699999999998,1.5956000000000001,26.3,0,2,2,3,0.8571428571428571,0,0,0,1,0,0,0,1,0,0,0,Smoky
