sml,pref,MolWt,LogP,TPSA,HBD,HBA,AromaticRings,RotBonds,RingCount,FracCSP3,Heteroatoms,carboxylic acid,ester,aldehyde,ketone,alcohol,ether,aromatic ring,amine,sulfur
SML0099,I,270.36899999999997,3.377500000000002,52.6,0,4,0,0,1,0.8666666666666667,4,0,1,0,0,0,1,0,0,0
SML0100,I,206.24099999999996,2.349,35.53,0,3,1,4,1,0.25,3,0,1,0,0,0,1,1,0,0
SML0101,I,152.237,2.401700000000001,17.07,0,1,0,0,2,0.9,1,0,0,0,1,0,0,0,0,0
SML0102,I,270.41599999999994,4.684400000000005,17.07,0,1,0,0,4,0.7368421052631579,1,0,0,0,1,0,0,0,0,0
SML0103,I,196.29,3.242200000000002,26.3,0,2,0,5,0,0.5833333333333334,2,0,1,0,0,0,1,0,0,0
SML0104,I,124.13899999999997,1.4008,29.46,1,2,1,1,1,0.14285714285714285,2,0,0,0,0,1,1,1,0,0
SML0105,I,158.24099999999999,2.5199000000000007,26.3,0,2,0,6,0,0.8888888888888888,2,0,1,0,0,0,1,0,0,0
SML0106,II,172.26799999999997,2.910000000000001,26.3,0,2,0,7,0,0.9,2,0,1,0,0,0,1,0,0,0
SML0107,I,196.29,2.7643000000000013,26.3,0,2,0,1,2,0.9166666666666666,2,0,1,0,0,0,1,0,0,0
SML0108,I,72.107,0.8412999999999999,17.07,0,1,0,1,0,0.75,1,0,0,1,0,0,0,0,0,0
SML0109,I,88.10599999999998,0.727,37.3,1,1,0,1,0,0.75,2,1,0,0,0,0,0,0,0,0
SML0110,II,164.20399999999998,2.4339000000000013,29.46,1,2,1,2,1,0.2,2,0,0,0,0,1,1,1,0,0
