sml,group,rate_I,rate_II,MolWt,LogP,TPSA,HBD,HBA,AromaticRings,RotBonds,RingCount,FracCSP3,Heteroatoms,carboxylic acid,ester,aldehyde,ketone,alcohol,ether,aromatic ring,amine,sulfur
SML0704,Class II only,0.0,0.02425876010781671,168.27999999999997,3.3260000000000023,17.07,0,1,0,5,1,0.9090909090909091,1,0,0,0,1,0,0,0,0,0
SML0705,Class II only,0.0,0.018867924528301886,158.285,3.117800000000002,20.23,1,1,0,6,0,1.0,1,0,0,0,0,1,0,0,0,0
SML0706,shared,0.03225806451612903,0.0215633423180593,178.231,2.5299000000000005,26.3,0,2,1,4,1,0.36363636363636365,2,0,1,0,0,0,1,1,0,0
SML0707,shared,0.03225806451612903,0.03234501347708895,192.30199999999996,3.6582000000000026,17.07,0,1,0,4,1,0.6153846153846154,1,0,0,1,0,0,0,0,0,0
SML0708,Class II only,0.0,0.02425876010781671,154.253,2.935900000000001,17.07,0,1,0,4,1,0.9,1,0,0,0,1,0,0,0,0,0
SML0709,shared,0.016129032258064516,0.016172506738544475,170.25199999999998,2.518300000000001,26.3,0,2,0,4,1,0.9,2,0,1,0,0,0,1,0,0,0
SML0710,shared,0.04838709677419355,0.02425876010781671,164.204,2.1398,26.3,0,2,1,3,1,0.3,2,0,1,0,0,0,1,1,0,0
SML0711,shared,0.016129032258064516,0.05660377358490566,135.20999999999998,1.7488000000000001,26.02,1,1,1,2,1,0.3333333333333333,1,0,0,0,0,0,0,1,1,0
SML0712,shared,0.016129032258064516,0.0215633423180593,226.35999999999996,4.222800000000004,26.3,0,2,0,8,1,0.9285714285714286,2,0,1,0,0,0,1,0,0,0
SML0713,Class II only,0.0,0.02425876010781671,196.29,3.218600000000002,26.3,0,2,0,6,1,0.75,2,0,1,0,0,0,1,0,0,0
SML0714,Class II only,0.0,0.018867924528301886,165.28,3.816780000000003,23.79,0,1,0,7,0,0.7272727272727273,1,0,0,0,0,0,0,0,0,0
SML0716,shared,0.016129032258064516,0.016172506738544475,158.285,3.117800000000002,20.23,1,1,0,7,0,1.0,1,0,0,0,0,1,0,0,0,0
SML0717,Class II only,0.0,0.02425876010781671,182.30699999999996,3.7161000000000026,17.07,0,1,0,6,1,0.9166666666666666,1,0,0,0,1,0,0,0,0,0
SML0718,shared,0.03225806451612903,0.02425876010781671,198.30599999999995,2.974500000000001,26.3,0,2,0,8,0,0.75,2,0,0,1,0,0,1,0,0,0
SML0719,Class II only,0.0,0.03234501347708895,131.17799999999997,2.4763199999999994,15.79,1,0,2,0,2,0.1111111111111111,1,0,0,0,0,0,0,1,0,0
