rank,taxid,pct_odorant,pct_background,odds_ratio,ci_lo,ci_hi,n_odorant,n_background,p,q,taxon
genus,37507,0.0,0.028129947272703484,4.299990151802923,0.26427369385824634,69.96502389496219,0,43,1.0,1.0,Leptogorgia
genus,114078,0.0,0.028129947272703484,4.299990151802923,0.26427369385824634,69.96502389496219,0,43,1.0,1.0,Mesua
genus,306970,0.0,0.01635462050738575,7.336141310869513,0.4458729452486765,120.70472072045065,0,25,1.0,1.0,Monanthotaxis
genus,3495,0.0,0.036634349936544075,3.310330260720746,0.2041928915688953,53.6663463201221,0,56,1.0,1.0,Maclura
genus,45163,0.0,0.013737881226204026,8.701232529674646,0.5262025995419242,143.88269385475752,0,21,1.0,1.0,Muntingia
genus,41607,0.0,0.020279729429158327,5.938547920188067,0.36278609655577165,97.20976557586583,0,31,1.0,1.0,Mutisia
genus,128654,0.0,0.030092501733589773,4.022492465221569,0.24747157536688544,65.38304695711498,0,46,1.0,1.0,Neolitsea
genus,43874,0.0,0.028129947272703484,4.299990151802923,0.26427369385824634,69.96502389496219,0,43,1.0,1.0,Nitraria
genus,37459,0.0,0.020279729429158327,5.938547920188067,0.36278609655577165,97.20976557586583,0,31,1.0,1.0,Notholaena
genus,68563,0.0,0.214572621056901,0.568343179281963,0.03541410097787433,9.121055187540666,0,328,1.0,1.0,Petrosia
genus,68553,0.0,0.023550653530635474,5.124880535202294,0.31401652500994026,83.64018581271783,0,36,1.0,1.0,Phellodendron
genus,122541,0.0,0.014392066046499457,8.314456684346526,0.5035248109414775,137.29251956148255,0,22,1.0,1.0,Picris
genus,4439,0.0,0.028784132092998915,4.203333654229643,0.25842518532972136,68.36800285636681,0,44,1.0,1.0,Plumbago
genus,56064,0.0,0.028784132092998915,4.203333654229643,0.25842518532972136,68.36800285636681,0,44,1.0,1.0,Pongamia
genus,41687,0.0,0.015700435687090317,7.63562560887268,0.46356580011661014,125.77023245503916,0,24,1.0,1.0,Scedosporium
genus,100169,0.49019607843137253,0.06476429720924756,7.601283773697567,1.868432444727311,30.924058919727525,2,99,0.030023065667769654,1.0,Pterocarpus
genus,3892,0.0,0.028129947272703484,4.299990151802923,0.26427369385824634,69.96502389496219,0,43,1.0,1.0,Pueraria
genus,3511,0.0,0.07065196059190643,1.7232259192617703,0.10691882918102764,27.773476304980917,0,108,1.0,1.0,Quercus
genus,5402,0.0,0.04775549188156638,2.544392542818841,0.1573909805799464,41.132810711880076,0,73,1.0,1.0,Russula
genus,4319,0.0,0.021588099069749185,5.583934671806207,0.3415673826641469,91.28601851792796,0,33,1.0,1.0,Salacia
genus,468156,0.0,0.022242283890044616,5.422046014936228,0.3318620573885193,88.58675565211773,0,34,1.0,1.0,Senegalia
genus,76975,0.0,0.015700435687090317,7.63562560887268,0.46356580011661014,125.77023245503916,0,24,1.0,1.0,Skimmia
genus,41787,0.0,0.031400871374180635,3.856566013451274,0.23740845520212414,62.64773258999906,0,48,1.0,1.0,Stauntonia
genus,1745162,0.0,0.013737881226204026,8.701232529674646,0.5262025995419242,143.88269385475752,0,21,1.0,1.0,Symphyopappus
genus,49743,0.0,0.01635462050738575,7.336141310869513,0.4458729452486765,120.70472072045065,0,25,1.0,1.0,Taraxacum
genus,39992,0.24509803921568626,0.054951524904816106,4.468760968760969,0.6207149819745469,32.172293525759216,1,84,0.20278530437868764,1.0,Terminalia
genus,49852,0.0,0.014392066046499457,8.314456684346526,0.5035248109414775,137.29251956148255,0,22,1.0,1.0,Thermopsis
genus,13730,0.0,0.03925108921772579,3.0913845251221463,0.1908414801675602,50.07642087964242,0,60,1.0,1.0,Tragopogon
genus,16383,0.0,0.07588543915426986,1.6048087580964587,0.09961510366866888,25.853621139914747,0,116,1.0,1.0,Vellozia
genus,67937,0.24509803921568626,0.19756381572921983,1.2411930292724995,0.17385354743480153,8.861252235835938,1,302,0.554451816776493,1.0,Zanthoxylum
genus,55170,0.0,0.014392066046499457,8.314456684346526,0.5035248109414775,137.29251956148255,0,22,1.0,1.0,Didymella
genus,4441,1.4705882352941178,0.2341981656657639,6.358042191278246,2.8206728129968552,14.331580862483877,6,358,0.0004778689253539952,0.03158279170294132,Camellia
genus,59070,0.0,0.08896913556017846,1.3694926044987243,0.08508227800351503,22.04348587962366,0,136,1.0,1.0,Fritillaria
genus,6237,0.24509803921568626,0.16289202025356203,1.5059056866285783,0.21078657731617936,10.758521561924066,1,249,0.4867140646113053,1.0,Caenorhabditis
genus,38944,0.0,0.026821577632112625,4.507277580333574,0.27680218497729686,73.39375297143675,0,41,1.0,1.0,Flammulina
genus,12952,0.0,0.03532598029595321,3.431855187360336,0.21159420800033213,55.66140084039331,0,54,1.0,1.0,Asimina
genus,51109,0.0,0.06476429720924756,1.8792063130831638,0.11652961384918305,30.304883458226403,0,99,1.0,1.0,Dendronephthya
genus,6510,0.0,0.045792937420680094,2.652716650607221,0.16402613990736323,42.90112315258417,0,70,1.0,1.0,Dolabella
