rank,taxid,mean_share_odorant,mean_share_background,share_ratio,ratio_ci_lo,ratio_ci_hi,p,n_molecules,n_odorant_molecules,n_background_molecules,q,taxon
class,162484,8.385030571706347e-05,4.9010964980910066e-05,1.71084788372813,0.6402832359471026,3.611532943082589,0.6915654217289136,125,1957,263882,0.9978001099945002,Pucciniomycetes
class,4891,0.0021045179565453804,0.00038593566809514264,5.4530278762069875,3.5120946591540037,8.147789084006929,0.0007999600019999,820,1957,263882,0.008430347713383562,Saccharomycetes
class,189478,9.36730665619525e-06,0.0001874055886858557,0.049984137196129624,0.00400783856391952,0.13664031157065715,0.7950102494875256,117,1957,263882,0.9978001099945002,Orbiliomycetes
class,147548,0.0002690699320337458,0.0033002664732562797,0.08152975955552524,0.053274781149836845,0.11477327668040754,0.016049197540122993,2293,1957,263882,0.0955973940433413,Leotiomycetes
class,3166,0.0008951516190764841,0.00016817996191576676,5.322581887162173,2.5831920803852895,9.627504368205148,0.009849507524623768,608,1957,263882,0.06947509767368774,Chlorophyceae
class,10206,0.000175279004215477,0.0014405734432930944,0.12167307750363361,0.052225246462064646,0.2165712495968985,0.12784360781960902,915,1957,263882,0.4124131002752188,Gymnolaemata
class,5988,1.6068748533726697e-06,1.4389162523491527e-05,0.1116725765484482,0.0,0.4137279142431796,0.9590020498975051,43,1957,263882,0.9978001099945002,Litostomatea
class,6178,0.00013059580100976983,5.5519335493937015e-05,2.3522579989097947,1.2113863502989437,4.070615804780009,0.09369531523423828,309,1957,263882,0.33779626808133273,Trematoda
class,2212732,0.00011203385180436252,0.0001271770698935058,0.8809280784513769,0.11848454688607599,2.2541886172520127,0.992000399980001,180,1957,263882,0.9978001099945002,Mortierellomycetes
class,35069,0.00012001433458842636,0.00036666079937147157,0.3273170592388236,0.10696769036250964,0.6151845235728068,0.631568421578921,480,1957,263882,0.9978001099945002,Crinoidea
class,6650,9.49983072126739e-06,2.6929068938931833e-05,0.35277234214114683,0.07789992617504007,0.9470979367037812,0.8980550972451378,66,1957,263882,0.9978001099945002,Polyplacophora
class,3296,0.00017900207750699834,0.00020192493428666127,0.8864783249248424,0.3027973976192461,1.726695140606401,0.9715514224288786,390,1957,263882,0.9978001099945002,Cycadopsida
class,7553,1.5121021337470371e-05,6.139781831584688e-05,0.24627945670127516,0.03029885723849149,0.6449774573079722,0.5629218539073046,219,1957,263882,0.9978001099945002,Diplopoda
class,191410,5.47684014274534e-06,7.672876484185794e-05,0.07137922986292557,0.0,0.22721756931740683,0.8306584670766461,60,1957,263882,0.9978001099945002,Chlorobiia
class,35675,6.119595249970167e-07,4.53550271305208e-05,0.013492650400934503,0.0,0.05290476596111938,0.8617569121543923,39,1957,263882,0.9978001099945002,Pelagophyceae
class,214506,1.1108212048417248e-05,3.161726036507338e-05,0.35133379426789774,0.0,1.2566070582329354,0.8359582020898955,109,1957,263882,0.9978001099945002,Glomeromycetes
class,451435,6.119595249970167e-07,0.00013794322153286282,0.004436314580714841,0.0,0.01523112224474721,0.6931653417329133,94,1957,263882,0.9978001099945002,Chytridiomycetes
class,33849,4.574776498196316e-06,0.00014424975029022054,0.03171427672486213,0.004030344214317221,0.07384700219937815,0.6846657667116645,114,1957,263882,0.9978001099945002,Bacillariophyceae
class,29811,0.00018984831970347444,0.0007392919145512419,0.25679750578459176,0.15108614577970053,0.3930981654582638,0.3887805609719514,536,1957,263882,0.9684170336937699,Ginkgoopsida
class,304574,3.116668209114387e-06,3.099034305794933e-05,0.10056901284656579,0.0,0.335074090683832,0.6363681815909205,106,1957,263882,0.9978001099945002,Charophyceae
class,224756,1.0922437977161672e-05,3.471835112490432e-05,0.3146012878856663,0.05063931721818369,0.8038499850608268,0.6931653417329133,157,1957,263882,0.9978001099945002,Methanomicrobia
class,75966,0.00031696064683483404,0.0005274429300485006,0.6009382793427304,0.08848382416298488,1.3634135161555618,0.6615669216539173,415,1957,263882,0.9978001099945002,Trebouxiophyceae
class,33836,0.0009124629461565613,0.00018680835001488218,4.88448694120937,0.061901733472274824,13.721631139705163,0.04584770761461927,131,1957,263882,0.19628549822508873,Coscinodiscophyceae
class,33829,3.05190566934065e-05,0.0001941473456391784,0.15719533322966964,0.03178177078853284,0.3971309110497651,0.8098595070246488,231,1957,263882,0.9978001099945002,Spirotrichea
